
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:32:36 2026
Timers Off: Sun Aug  9 02:33:33 2026

Wall Time:       57.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.033u      0.017s      0.350w      1 calls
build grid                          :      2.850u      0.017s      0.242w      1 calls
post-process grid                   :      0.183u      0.000s      0.108w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.137w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.269w     11 calls
JK: (A|Q)^-1                        :      2.500u      0.417s      0.970w      1 calls
JK: (A|mn)                          :      6.050u      0.183s      0.468w      1 calls
JK: (Q|mn)                          :     40.683u      0.067s      3.245w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.767s      0.641w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.023w      1 calls
HF: Form S/X                        :      0.317u      0.083s      0.132w      1 calls
HF: Guess                           :      0.117u      0.067s      0.057w      1 calls
SAD Guess                           :      0.117u      0.067s      0.055w      1 calls
HF: Form G                          :    561.933u      8.967s     46.513w     13 calls
RV: Form V                          :    385.700u      1.000s     29.210w     13 calls
Properties                          :    124.791p                          56433 calls
Functional                          :      3.795p                          56433 calls
V_xc                                :    104.809p                          56433 calls
JK: D                               :      0.067u      0.000s      0.006w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    176.133u      7.967s     17.289w     13 calls
JK: (Q|mn) Read                     :      0.033u      5.250s      3.201w     26 calls
JK: J                               :      5.683u      0.433s      0.540w     26 calls
JK: J1                              :      3.100u      0.433s      0.292w     26 calls
JK: J2                              :      2.567u      0.000s      0.233w     26 calls
JK: K                               :    170.367u      1.333s     13.016w     26 calls
JK: K1                              :    108.533u      1.117s      8.299w     26 calls
JK: K2                              :     61.833u      0.217s      4.715w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.017s      0.004w     13 calls
HF: DIIS                            :      2.083u      0.300s      0.713w     12 calls
HF: Form C                          :      4.967u      1.300s      2.323w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.033u      0.017s      0.350w      1 calls
| build grid                        :      2.850u      0.017s      0.242w      1 calls
| post-process grid                 :      0.183u      0.000s      0.108w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.137w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.091w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.177w      2 calls
JK: (A|Q)^-1                        :      2.500u      0.417s      0.970w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.050u      0.183s      0.468w      1 calls
JK: (Q|mn)                          :     40.683u      0.067s      3.245w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.767s      0.641w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.023w      1 calls
HF: Form S/X                        :      0.317u      0.083s      0.132w      1 calls
HF: Guess                           :      0.117u      0.067s      0.057w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.055w      1 calls
HF: Form G                          :    561.933u      8.967s     46.513w     13 calls
| RV: Form V                        :    385.700u      1.000s     29.210w     13 calls
| | Properties                      :    124.791p                          56433 calls
| | Functional                      :      3.795p                          56433 calls
| | V_xc                            :    104.809p                          56433 calls
| JK: D                             :      0.067u      0.000s      0.006w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    176.133u      7.967s     17.289w     13 calls
| | JK: (Q|mn) Read                 :      0.033u      5.250s      3.201w     26 calls
| | JK: J                           :      5.683u      0.433s      0.540w     26 calls
| | | JK: J1                        :      3.100u      0.433s      0.292w     26 calls
| | | JK: J2                        :      2.567u      0.000s      0.233w     26 calls
| | JK: K                           :    170.367u      1.333s     13.016w     26 calls
| | | JK: K1                        :    108.533u      1.117s      8.299w     26 calls
| | | JK: K2                        :     61.833u      0.217s      4.715w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.017s      0.004w     13 calls
HF: DIIS                            :      2.083u      0.300s      0.713w     12 calls
HF: Form C                          :      4.967u      1.300s      2.323w     12 calls

**************************************************************************************
