
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:33:36 2026
Timers Off: Sun Aug  9 02:34:34 2026

Wall Time:       58.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.967u      0.017s      0.338w      1 calls
build grid                          :      2.817u      0.017s      0.242w      1 calls
post-process grid                   :      0.150u      0.000s      0.096w      1 calls
DFH: sparsity prep                  :      0.233u      0.000s      0.136w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.017s      0.267w     11 calls
JK: (A|Q)^-1                        :      2.583u      0.417s      0.952w      1 calls
JK: (A|mn)                          :      6.017u      0.183s      0.464w      1 calls
JK: (Q|mn)                          :     38.633u      0.050s      3.073w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.283s      0.178w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.121w      1 calls
HF: Guess                           :      0.117u      0.067s      0.053w      1 calls
SAD Guess                           :      0.117u      0.067s      0.052w      1 calls
HF: Form G                          :    580.267u      8.633s     47.811w     13 calls
RV: Form V                          :    396.767u      1.167s     30.189w     13 calls
Properties                          :    130.554p                          56563 calls
Functional                          :      3.881p                          56563 calls
V_xc                                :    106.777p                          56563 calls
JK: D                               :      0.033u      0.000s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :    183.450u      7.450s     17.606w     13 calls
JK: (Q|mn) Read                     :      0.117u      5.200s      3.150w     26 calls
JK: J                               :      5.650u      0.400s      0.548w     26 calls
JK: J1                              :      3.050u      0.367s      0.298w     26 calls
JK: J2                              :      2.583u      0.033s      0.235w     26 calls
JK: K                               :    177.633u      1.317s     13.572w     26 calls
JK: K1                              :    115.533u      1.067s      8.855w     26 calls
JK: K2                              :     62.100u      0.250s      4.714w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.033s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.005w     13 calls
HF: DIIS                            :      2.150u      0.283s      0.605w     12 calls
HF: Form C                          :      5.117u      1.333s      2.390w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.967u      0.017s      0.338w      1 calls
| build grid                        :      2.817u      0.017s      0.242w      1 calls
| post-process grid                 :      0.150u      0.000s      0.096w      1 calls
DFH: sparsity prep                  :      0.233u      0.000s      0.136w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.090w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.176w      2 calls
JK: (A|Q)^-1                        :      2.583u      0.417s      0.952w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      6.017u      0.183s      0.464w      1 calls
JK: (Q|mn)                          :     38.633u      0.050s      3.073w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.283s      0.178w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.121w      1 calls
HF: Guess                           :      0.117u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.052w      1 calls
HF: Form G                          :    580.267u      8.633s     47.811w     13 calls
| RV: Form V                        :    396.767u      1.167s     30.189w     13 calls
| | Properties                      :    130.554p                          56563 calls
| | Functional                      :      3.881p                          56563 calls
| | V_xc                            :    106.777p                          56563 calls
| JK: D                             :      0.033u      0.000s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :    183.450u      7.450s     17.606w     13 calls
| | JK: (Q|mn) Read                 :      0.117u      5.200s      3.150w     26 calls
| | JK: J                           :      5.650u      0.400s      0.548w     26 calls
| | | JK: J1                        :      3.050u      0.367s      0.298w     26 calls
| | | JK: J2                        :      2.583u      0.033s      0.235w     26 calls
| | JK: K                           :    177.633u      1.317s     13.572w     26 calls
| | | JK: K1                        :    115.533u      1.067s      8.855w     26 calls
| | | JK: K2                        :     62.100u      0.250s      4.714w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.033s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.005w     13 calls
HF: DIIS                            :      2.150u      0.283s      0.605w     12 calls
HF: Form C                          :      5.117u      1.333s      2.390w     12 calls

**************************************************************************************
