
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:34:37 2026
Timers Off: Sun Aug  9 02:35:33 2026

Wall Time:       56.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.017u      0.017s      0.353w      1 calls
build grid                          :      2.850u      0.000s      0.250w      1 calls
post-process grid                   :      0.167u      0.017s      0.102w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.136w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.000s      0.266w     11 calls
JK: (A|Q)^-1                        :      2.533u      0.417s      0.961w      1 calls
JK: (A|mn)                          :      6.300u      0.183s      0.488w      1 calls
JK: (Q|mn)                          :     40.817u      0.067s      3.244w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.683s      0.620w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.317u      0.083s      0.136w      1 calls
HF: Guess                           :      0.117u      0.067s      0.051w      1 calls
SAD Guess                           :      0.117u      0.050s      0.050w      1 calls
HF: Form G                          :    553.433u      9.250s     46.487w     13 calls
RV: Form V                          :    377.150u      1.283s     29.159w     13 calls
Properties                          :    126.447p                          56914 calls
Functional                          :      3.973p                          56914 calls
V_xc                                :    102.523p                          56914 calls
JK: D                               :      0.083u      0.017s      0.006w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :    176.150u      7.950s     17.312w     13 calls
JK: (Q|mn) Read                     :      0.050u      4.933s      3.057w     26 calls
JK: J                               :      5.617u      0.467s      0.548w     26 calls
JK: J1                              :      3.067u      0.450s      0.301w     26 calls
JK: J2                              :      2.517u      0.017s      0.232w     26 calls
JK: K                               :    170.450u      1.600s     13.188w     26 calls
JK: K1                              :    107.750u      1.283s      8.398w     26 calls
JK: K2                              :     62.700u      0.317s      4.788w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.017s      0.004w     13 calls
HF: DIIS                            :      2.167u      0.250s      0.605w     12 calls
HF: Form C                          :      5.017u      1.267s      2.326w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.017u      0.017s      0.353w      1 calls
| build grid                        :      2.850u      0.000s      0.250w      1 calls
| post-process grid                 :      0.167u      0.017s      0.102w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.136w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.090w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.175w      2 calls
JK: (A|Q)^-1                        :      2.533u      0.417s      0.961w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.300u      0.183s      0.488w      1 calls
JK: (Q|mn)                          :     40.817u      0.067s      3.244w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.683s      0.620w      1 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.317u      0.083s      0.136w      1 calls
HF: Guess                           :      0.117u      0.067s      0.051w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.050w      1 calls
HF: Form G                          :    553.433u      9.250s     46.487w     13 calls
| RV: Form V                        :    377.150u      1.283s     29.159w     13 calls
| | Properties                      :    126.447p                          56914 calls
| | Functional                      :      3.973p                          56914 calls
| | V_xc                            :    102.523p                          56914 calls
| JK: D                             :      0.083u      0.017s      0.006w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :    176.150u      7.950s     17.312w     13 calls
| | JK: (Q|mn) Read                 :      0.050u      4.933s      3.057w     26 calls
| | JK: J                           :      5.617u      0.467s      0.548w     26 calls
| | | JK: J1                        :      3.067u      0.450s      0.301w     26 calls
| | | JK: J2                        :      2.517u      0.017s      0.232w     26 calls
| | JK: K                           :    170.450u      1.600s     13.188w     26 calls
| | | JK: K1                        :    107.750u      1.283s      8.398w     26 calls
| | | JK: K2                        :     62.700u      0.317s      4.788w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.017s      0.004w     13 calls
HF: DIIS                            :      2.167u      0.250s      0.605w     12 calls
HF: Form C                          :      5.017u      1.267s      2.326w     12 calls

**************************************************************************************
