
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:35:37 2026
Timers Off: Sun Aug  9 02:36:30 2026

Wall Time:       52.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.617u      0.017s      0.395w      1 calls
build grid                          :      3.450u      0.017s      0.287w      1 calls
post-process grid                   :      0.167u      0.000s      0.107w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.112w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.218w     11 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.825w      1 calls
JK: (A|mn)                          :      5.233u      0.167s      0.406w      1 calls
JK: (Q|mn)                          :     29.433u      0.033s      2.361w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.616w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.049w      1 calls
SAD Guess                           :      0.100u      0.067s      0.048w      1 calls
HF: Form G                          :    536.167u      7.500s     43.834w     13 calls
RV: Form V                          :    394.450u      0.967s     29.851w     13 calls
Properties                          :    125.171p                          59839 calls
Functional                          :      3.990p                          59839 calls
V_xc                                :    109.370p                          59839 calls
JK: D                               :      0.033u      0.033s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    141.683u      6.483s     13.970w     13 calls
JK: (Q|mn) Read                     :      0.100u      4.317s      2.645w     26 calls
JK: J                               :      5.000u      0.433s      0.472w     26 calls
JK: J1                              :      2.767u      0.433s      0.264w     26 calls
JK: J2                              :      2.217u      0.000s      0.196w     26 calls
JK: K                               :    136.550u      0.983s     10.404w     26 calls
JK: K1                              :     93.050u      0.833s      7.111w     26 calls
JK: K2                              :     43.500u      0.150s      3.291w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.717u      0.250s      0.551w     12 calls
HF: Form C                          :      3.967u      1.150s      1.890w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.617u      0.017s      0.395w      1 calls
| build grid                        :      3.450u      0.017s      0.287w      1 calls
| post-process grid                 :      0.167u      0.000s      0.107w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.112w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.143w      2 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.825w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.233u      0.167s      0.406w      1 calls
JK: (Q|mn)                          :     29.433u      0.033s      2.361w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.616w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.049w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.048w      1 calls
HF: Form G                          :    536.167u      7.500s     43.834w     13 calls
| RV: Form V                        :    394.450u      0.967s     29.851w     13 calls
| | Properties                      :    125.171p                          59839 calls
| | Functional                      :      3.990p                          59839 calls
| | V_xc                            :    109.370p                          59839 calls
| JK: D                             :      0.033u      0.033s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    141.683u      6.483s     13.970w     13 calls
| | JK: (Q|mn) Read                 :      0.100u      4.317s      2.645w     26 calls
| | JK: J                           :      5.000u      0.433s      0.472w     26 calls
| | | JK: J1                        :      2.767u      0.433s      0.264w     26 calls
| | | JK: J2                        :      2.217u      0.000s      0.196w     26 calls
| | JK: K                           :    136.550u      0.983s     10.404w     26 calls
| | | JK: K1                        :     93.050u      0.833s      7.111w     26 calls
| | | JK: K2                        :     43.500u      0.150s      3.291w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.717u      0.250s      0.551w     12 calls
HF: Form C                          :      3.967u      1.150s      1.890w     12 calls

**************************************************************************************
