
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:36:32 2026
Timers Off: Sun Aug  9 02:37:21 2026

Wall Time:       48.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.583u      0.017s      0.401w      1 calls
build grid                          :      3.417u      0.017s      0.293w      1 calls
post-process grid                   :      0.167u      0.000s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.112w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.219w     11 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.819w      1 calls
JK: (A|mn)                          :      5.200u      0.167s      0.404w      1 calls
JK: (Q|mn)                          :     30.467u      0.050s      2.444w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.527w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.119w      1 calls
HF: Guess                           :      0.100u      0.067s      0.072w      1 calls
SAD Guess                           :      0.100u      0.067s      0.071w      1 calls
HF: Form G                          :    487.383u      6.817s     39.826w     12 calls
RV: Form V                          :    354.417u      0.883s     26.837w     12 calls
Properties                          :    114.233p                          55332 calls
Functional                          :      3.670p                          55332 calls
V_xc                                :     96.479p                          55332 calls
JK: D                               :      0.083u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :    132.833u      5.933s     12.974w     12 calls
JK: (Q|mn) Read                     :      0.067u      3.883s      2.383w     24 calls
JK: J                               :      4.583u      0.400s      0.439w     24 calls
JK: J1                              :      2.467u      0.367s      0.245w     24 calls
JK: J2                              :      2.100u      0.033s      0.182w     24 calls
JK: K                               :    128.133u      0.950s      9.781w     24 calls
JK: K1                              :     87.717u      0.867s      6.715w     24 calls
JK: K2                              :     40.417u      0.083s      3.065w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.250s      0.528w     11 calls
HF: Form C                          :      3.650u      1.067s      1.754w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.583u      0.017s      0.401w      1 calls
| build grid                        :      3.417u      0.017s      0.293w      1 calls
| post-process grid                 :      0.167u      0.000s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.112w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.017s      0.143w      2 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.819w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.200u      0.167s      0.404w      1 calls
JK: (Q|mn)                          :     30.467u      0.050s      2.444w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.527w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.119w      1 calls
HF: Guess                           :      0.100u      0.067s      0.072w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.071w      1 calls
HF: Form G                          :    487.383u      6.817s     39.826w     12 calls
| RV: Form V                        :    354.417u      0.883s     26.837w     12 calls
| | Properties                      :    114.233p                          55332 calls
| | Functional                      :      3.670p                          55332 calls
| | V_xc                            :     96.479p                          55332 calls
| JK: D                             :      0.083u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :    132.833u      5.933s     12.974w     12 calls
| | JK: (Q|mn) Read                 :      0.067u      3.883s      2.383w     24 calls
| | JK: J                           :      4.583u      0.400s      0.439w     24 calls
| | | JK: J1                        :      2.467u      0.367s      0.245w     24 calls
| | | JK: J2                        :      2.100u      0.033s      0.182w     24 calls
| | JK: K                           :    128.133u      0.950s      9.781w     24 calls
| | | JK: K1                        :     87.717u      0.867s      6.715w     24 calls
| | | JK: K2                        :     40.417u      0.083s      3.065w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.633u      0.250s      0.528w     11 calls
HF: Form C                          :      3.650u      1.067s      1.754w     11 calls

**************************************************************************************
