
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:37:23 2026
Timers Off: Sun Aug  9 02:38:11 2026

Wall Time:       48.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.633u      0.017s      0.401w      1 calls
build grid                          :      3.450u      0.000s      0.289w      1 calls
post-process grid                   :      0.183u      0.017s      0.113w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.217w     11 calls
JK: (A|Q)^-1                        :      2.167u      0.383s      0.812w      1 calls
JK: (A|mn)                          :      5.583u      0.183s      0.433w      1 calls
JK: (Q|mn)                          :     32.867u      0.050s      2.626w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.145w      1 calls
HF: Form core H                     :      0.217u      0.017s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.067s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.052w      1 calls
SAD Guess                           :      0.100u      0.067s      0.051w      1 calls
HF: Form G                          :    480.883u      6.683s     39.285w     12 calls
RV: Form V                          :    349.150u      0.917s     26.449w     12 calls
Properties                          :    111.134p                          55416 calls
Functional                          :      3.720p                          55416 calls
V_xc                                :     96.428p                          55416 calls
JK: D                               :      0.067u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    131.650u      5.767s     12.822w     12 calls
JK: (Q|mn) Read                     :      0.067u      3.933s      2.402w     24 calls
JK: J                               :      4.467u      0.383s      0.430w     24 calls
JK: J1                              :      2.450u      0.383s      0.236w     24 calls
JK: J2                              :      1.983u      0.000s      0.182w     24 calls
JK: K                               :    127.083u      0.933s      9.691w     24 calls
JK: K1                              :     86.583u      0.783s      6.624w     24 calls
JK: K2                              :     40.500u      0.117s      3.066w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.700u      0.250s      0.537w     11 calls
HF: Form C                          :      3.650u      1.083s      1.766w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.633u      0.017s      0.401w      1 calls
| build grid                        :      3.450u      0.000s      0.289w      1 calls
| post-process grid                 :      0.183u      0.017s      0.113w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.142w      2 calls
JK: (A|Q)^-1                        :      2.167u      0.383s      0.812w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.583u      0.183s      0.433w      1 calls
JK: (Q|mn)                          :     32.867u      0.050s      2.626w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.145w      1 calls
HF: Form core H                     :      0.217u      0.017s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.067s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.052w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.051w      1 calls
HF: Form G                          :    480.883u      6.683s     39.285w     12 calls
| RV: Form V                        :    349.150u      0.917s     26.449w     12 calls
| | Properties                      :    111.134p                          55416 calls
| | Functional                      :      3.720p                          55416 calls
| | V_xc                            :     96.428p                          55416 calls
| JK: D                             :      0.067u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    131.650u      5.767s     12.822w     12 calls
| | JK: (Q|mn) Read                 :      0.067u      3.933s      2.402w     24 calls
| | JK: J                           :      4.467u      0.383s      0.430w     24 calls
| | | JK: J1                        :      2.450u      0.383s      0.236w     24 calls
| | | JK: J2                        :      1.983u      0.000s      0.182w     24 calls
| | JK: K                           :    127.083u      0.933s      9.691w     24 calls
| | | JK: K1                        :     86.583u      0.783s      6.624w     24 calls
| | | JK: K2                        :     40.500u      0.117s      3.066w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.700u      0.250s      0.537w     11 calls
HF: Form C                          :      3.650u      1.083s      1.766w     11 calls

**************************************************************************************
