
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:38:13 2026
Timers Off: Sun Aug  9 02:39:01 2026

Wall Time:       47.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.600u      0.017s      0.409w      1 calls
build grid                          :      3.433u      0.000s      0.302w      1 calls
post-process grid                   :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.217w     11 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.807w      1 calls
JK: (A|mn)                          :      5.383u      0.150s      0.416w      1 calls
JK: (Q|mn)                          :     31.383u      0.050s      2.516w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.470w      1 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.071w      1 calls
SAD Guess                           :      0.117u      0.083s      0.069w      1 calls
HF: Form G                          :    480.533u      6.733s     39.310w     12 calls
RV: Form V                          :    349.817u      0.850s     26.471w     12 calls
Properties                          :    110.646p                          55428 calls
Functional                          :      3.662p                          55428 calls
V_xc                                :     97.140p                          55428 calls
JK: D                               :      0.033u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    130.667u      5.867s     12.826w     12 calls
JK: (Q|mn) Read                     :      0.117u      3.967s      2.402w     24 calls
JK: J                               :      4.383u      0.367s      0.430w     24 calls
JK: J1                              :      2.367u      0.367s      0.238w     24 calls
JK: J2                              :      2.017u      0.000s      0.180w     24 calls
JK: K                               :    126.150u      0.917s      9.616w     24 calls
JK: K1                              :     86.133u      0.800s      6.586w     24 calls
JK: K2                              :     40.017u      0.100s      3.028w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.067u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.683u      0.217s      0.528w     11 calls
HF: Form C                          :      3.533u      1.033s      1.719w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.600u      0.017s      0.409w      1 calls
| build grid                        :      3.433u      0.000s      0.302w      1 calls
| post-process grid                 :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.142w      2 calls
JK: (A|Q)^-1                        :      2.083u      0.383s      0.807w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.383u      0.150s      0.416w      1 calls
JK: (Q|mn)                          :     31.383u      0.050s      2.516w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.470w      1 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.069w      1 calls
HF: Form G                          :    480.533u      6.733s     39.310w     12 calls
| RV: Form V                        :    349.817u      0.850s     26.471w     12 calls
| | Properties                      :    110.646p                          55428 calls
| | Functional                      :      3.662p                          55428 calls
| | V_xc                            :     97.140p                          55428 calls
| JK: D                             :      0.033u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    130.667u      5.867s     12.826w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      3.967s      2.402w     24 calls
| | JK: J                           :      4.383u      0.367s      0.430w     24 calls
| | | JK: J1                        :      2.367u      0.367s      0.238w     24 calls
| | | JK: J2                        :      2.017u      0.000s      0.180w     24 calls
| | JK: K                           :    126.150u      0.917s      9.616w     24 calls
| | | JK: K1                        :     86.133u      0.800s      6.586w     24 calls
| | | JK: K2                        :     40.017u      0.100s      3.028w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.067u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.683u      0.217s      0.528w     11 calls
HF: Form C                          :      3.533u      1.033s      1.719w     11 calls

**************************************************************************************
