
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:39:03 2026
Timers Off: Sun Aug  9 02:39:51 2026

Wall Time:       47.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.600u      0.017s      0.392w      1 calls
build grid                          :      3.433u      0.000s      0.285w      1 calls
post-process grid                   :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.219w     11 calls
JK: (A|Q)^-1                        :      2.067u      0.350s      0.799w      1 calls
JK: (A|mn)                          :      5.167u      0.183s      0.401w      1 calls
JK: (Q|mn)                          :     30.250u      0.050s      2.427w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.217s      0.142w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.051w      1 calls
SAD Guess                           :      0.100u      0.067s      0.050w      1 calls
HF: Form G                          :    474.317u      6.483s     38.831w     12 calls
RV: Form V                          :    345.150u      0.833s     26.171w     12 calls
Properties                          :    110.595p                          55032 calls
Functional                          :      3.605p                          55032 calls
V_xc                                :     94.851p                          55032 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    129.117u      5.650s     12.649w     12 calls
JK: (Q|mn) Read                     :      0.083u      3.967s      2.413w     24 calls
JK: J                               :      4.517u      0.300s      0.439w     24 calls
JK: J1                              :      2.433u      0.300s      0.246w     24 calls
JK: J2                              :      2.033u      0.000s      0.181w     24 calls
JK: K                               :    124.467u      0.883s      9.498w     24 calls
JK: K1                              :     84.517u      0.733s      6.475w     24 calls
JK: K2                              :     39.950u      0.150s      3.022w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.003w     12 calls
HF: Form D                          :      0.083u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.650u      0.217s      0.525w     11 calls
HF: Form C                          :      3.567u      1.083s      1.735w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.600u      0.017s      0.392w      1 calls
| build grid                        :      3.433u      0.000s      0.285w      1 calls
| post-process grid                 :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.143w      2 calls
JK: (A|Q)^-1                        :      2.067u      0.350s      0.799w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.167u      0.183s      0.401w      1 calls
JK: (Q|mn)                          :     30.250u      0.050s      2.427w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.217s      0.142w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.233u      0.083s      0.108w      1 calls
HF: Guess                           :      0.100u      0.067s      0.051w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.050w      1 calls
HF: Form G                          :    474.317u      6.483s     38.831w     12 calls
| RV: Form V                        :    345.150u      0.833s     26.171w     12 calls
| | Properties                      :    110.595p                          55032 calls
| | Functional                      :      3.605p                          55032 calls
| | V_xc                            :     94.851p                          55032 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    129.117u      5.650s     12.649w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      3.967s      2.413w     24 calls
| | JK: J                           :      4.517u      0.300s      0.439w     24 calls
| | | JK: J1                        :      2.433u      0.300s      0.246w     24 calls
| | | JK: J2                        :      2.033u      0.000s      0.181w     24 calls
| | JK: K                           :    124.467u      0.883s      9.498w     24 calls
| | | JK: K1                        :     84.517u      0.733s      6.475w     24 calls
| | | JK: K2                        :     39.950u      0.150s      3.022w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.033s      0.003w     12 calls
HF: Form D                          :      0.083u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.650u      0.217s      0.525w     11 calls
HF: Form C                          :      3.567u      1.083s      1.735w     11 calls

**************************************************************************************
