
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:39:54 2026
Timers Off: Sun Aug  9 02:40:42 2026

Wall Time:       48.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.600u      0.033s      0.398w      1 calls
build grid                          :      3.417u      0.017s      0.289w      1 calls
post-process grid                   :      0.183u      0.017s      0.109w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.000s      0.217w     11 calls
JK: (A|Q)^-1                        :      2.200u      0.350s      0.830w      1 calls
JK: (A|mn)                          :      5.333u      0.183s      0.416w      1 calls
JK: (Q|mn)                          :     30.033u      0.050s      2.412w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.617s      0.634w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.023w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.117w      1 calls
HF: Guess                           :      0.117u      0.083s      0.055w      1 calls
SAD Guess                           :      0.117u      0.083s      0.054w      1 calls
HF: Form G                          :    479.233u      6.867s     39.706w     12 calls
RV: Form V                          :    348.850u      1.067s     26.849w     12 calls
Properties                          :    114.035p                          55404 calls
Functional                          :      3.760p                          55404 calls
V_xc                                :     96.657p                          55404 calls
JK: D                               :      0.000u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :    130.333u      5.800s     12.844w     12 calls
JK: (Q|mn) Read                     :      0.117u      3.967s      2.408w     24 calls
JK: J                               :      4.350u      0.217s      0.437w     24 calls
JK: J1                              :      2.233u      0.183s      0.234w     24 calls
JK: J2                              :      2.100u      0.033s      0.191w     24 calls
JK: K                               :    125.867u      1.000s      9.654w     24 calls
JK: K1                              :     84.500u      0.767s      6.495w     24 calls
JK: K2                              :     41.367u      0.233s      3.157w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.650u      0.250s      0.525w     11 calls
HF: Form C                          :      3.750u      1.100s      1.794w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.600u      0.033s      0.398w      1 calls
| build grid                        :      3.417u      0.017s      0.289w      1 calls
| post-process grid                 :      0.183u      0.017s      0.109w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.073w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.143w      2 calls
JK: (A|Q)^-1                        :      2.200u      0.350s      0.830w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.333u      0.183s      0.416w      1 calls
JK: (Q|mn)                          :     30.033u      0.050s      2.412w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.617s      0.634w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.023w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.117w      1 calls
HF: Guess                           :      0.117u      0.083s      0.055w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.054w      1 calls
HF: Form G                          :    479.233u      6.867s     39.706w     12 calls
| RV: Form V                        :    348.850u      1.067s     26.849w     12 calls
| | Properties                      :    114.035p                          55404 calls
| | Functional                      :      3.760p                          55404 calls
| | V_xc                            :     96.657p                          55404 calls
| JK: D                             :      0.000u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :    130.333u      5.800s     12.844w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      3.967s      2.408w     24 calls
| | JK: J                           :      4.350u      0.217s      0.437w     24 calls
| | | JK: J1                        :      2.233u      0.183s      0.234w     24 calls
| | | JK: J2                        :      2.100u      0.033s      0.191w     24 calls
| | JK: K                           :    125.867u      1.000s      9.654w     24 calls
| | | JK: K1                        :     84.500u      0.767s      6.495w     24 calls
| | | JK: K2                        :     41.367u      0.233s      3.157w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.650u      0.250s      0.525w     11 calls
HF: Form C                          :      3.750u      1.100s      1.794w     11 calls

**************************************************************************************
