
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:40:44 2026
Timers Off: Sun Aug  9 02:41:39 2026

Wall Time:       54.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.667u      0.017s      0.404w      1 calls
build grid                          :      3.467u      0.017s      0.289w      1 calls
post-process grid                   :      0.200u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.218w     11 calls
JK: (A|Q)^-1                        :      2.383u      0.383s      0.843w      1 calls
JK: (A|mn)                          :      5.900u      0.183s      0.458w      1 calls
JK: (Q|mn)                          :     36.700u      0.100s      2.974w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.156w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.122w      1 calls
HF: Guess                           :      0.100u      0.067s      0.054w      1 calls
SAD Guess                           :      0.100u      0.067s      0.053w      1 calls
HF: Form G                          :    542.850u      8.050s     44.685w     13 calls
RV: Form V                          :    397.800u      1.217s     30.372w     13 calls
Properties                          :    128.411p                          59982 calls
Functional                          :      4.121p                          59982 calls
V_xc                                :    110.118p                          59982 calls
JK: D                               :      0.033u      0.017s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     13 calls
JK: JK                              :    145.000u      6.800s     14.298w     13 calls
JK: (Q|mn) Read                     :      0.083u      4.500s      2.720w     26 calls
JK: J                               :      5.083u      0.383s      0.491w     26 calls
JK: J1                              :      2.817u      0.383s      0.276w     26 calls
JK: J2                              :      2.250u      0.000s      0.202w     26 calls
JK: K                               :    139.783u      1.333s     10.759w     26 calls
JK: K1                              :     94.150u      1.000s      7.267w     26 calls
JK: K2                              :     45.633u      0.333s      3.490w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.767u      0.300s      0.673w     12 calls
HF: Form C                          :      4.267u      1.267s      2.041w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.667u      0.017s      0.404w      1 calls
| build grid                        :      3.467u      0.017s      0.289w      1 calls
| post-process grid                 :      0.200u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.111w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.074w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.143w      2 calls
JK: (A|Q)^-1                        :      2.383u      0.383s      0.843w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.900u      0.183s      0.458w      1 calls
JK: (Q|mn)                          :     36.700u      0.100s      2.974w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.250s      0.156w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.122w      1 calls
HF: Guess                           :      0.100u      0.067s      0.054w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.053w      1 calls
HF: Form G                          :    542.850u      8.050s     44.685w     13 calls
| RV: Form V                        :    397.800u      1.217s     30.372w     13 calls
| | Properties                      :    128.411p                          59982 calls
| | Functional                      :      4.121p                          59982 calls
| | V_xc                            :    110.118p                          59982 calls
| JK: D                             :      0.033u      0.017s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     13 calls
| JK: JK                            :    145.000u      6.800s     14.298w     13 calls
| | JK: (Q|mn) Read                 :      0.083u      4.500s      2.720w     26 calls
| | JK: J                           :      5.083u      0.383s      0.491w     26 calls
| | | JK: J1                        :      2.817u      0.383s      0.276w     26 calls
| | | JK: J2                        :      2.250u      0.000s      0.202w     26 calls
| | JK: K                           :    139.783u      1.333s     10.759w     26 calls
| | | JK: K1                        :     94.150u      1.000s      7.267w     26 calls
| | | JK: K2                        :     45.633u      0.333s      3.490w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.767u      0.300s      0.673w     12 calls
HF: Form C                          :      4.267u      1.267s      2.041w     12 calls

**************************************************************************************
