
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:41:40 2026
Timers Off: Sun Aug  9 02:42:28 2026

Wall Time:       48.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.000u      0.033s      0.490w      1 calls
build grid                          :      3.767u      0.033s      0.348w      1 calls
post-process grid                   :      0.233u      0.000s      0.142w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.109w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.216w     11 calls
JK: (A|Q)^-1                        :      2.317u      0.383s      0.868w      1 calls
JK: (A|mn)                          :      6.517u      0.217s      0.505w      1 calls
JK: (Q|mn)                          :     37.017u      0.150s      3.000w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.408w      1 calls
HF: Form core H                     :      0.283u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.283u      0.083s      0.131w      1 calls
HF: Guess                           :      0.117u      0.083s      0.059w      1 calls
SAD Guess                           :      0.117u      0.083s      0.058w      1 calls
HF: Form G                          :    473.817u      6.333s     38.841w     12 calls
RV: Form V                          :    344.233u      0.850s     26.189w     12 calls
Properties                          :    110.183p                          55488 calls
Functional                          :      3.699p                          55488 calls
V_xc                                :     95.312p                          55488 calls
JK: D                               :      0.050u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    129.500u      5.433s     12.638w     12 calls
JK: (Q|mn) Read                     :      0.117u      3.850s      2.363w     24 calls
JK: J                               :      4.000u      0.083s      0.381w     24 calls
JK: J1                              :      2.000u      0.067s      0.193w     24 calls
JK: J2                              :      1.983u      0.017s      0.176w     24 calls
JK: K                               :    125.367u      0.983s      9.608w     24 calls
JK: K1                              :     84.083u      0.800s      6.470w     24 calls
JK: K2                              :     41.283u      0.167s      3.135w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.683u      0.267s      0.593w     11 calls
HF: Form C                          :      3.617u      1.050s      1.755w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.000u      0.033s      0.490w      1 calls
| build grid                        :      3.767u      0.033s      0.348w      1 calls
| post-process grid                 :      0.233u      0.000s      0.142w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.109w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.073w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.142w      2 calls
JK: (A|Q)^-1                        :      2.317u      0.383s      0.868w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.517u      0.217s      0.505w      1 calls
JK: (Q|mn)                          :     37.017u      0.150s      3.000w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.408w      1 calls
HF: Form core H                     :      0.283u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.283u      0.083s      0.131w      1 calls
HF: Guess                           :      0.117u      0.083s      0.059w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.058w      1 calls
HF: Form G                          :    473.817u      6.333s     38.841w     12 calls
| RV: Form V                        :    344.233u      0.850s     26.189w     12 calls
| | Properties                      :    110.183p                          55488 calls
| | Functional                      :      3.699p                          55488 calls
| | V_xc                            :     95.312p                          55488 calls
| JK: D                             :      0.050u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    129.500u      5.433s     12.638w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      3.850s      2.363w     24 calls
| | JK: J                           :      4.000u      0.083s      0.381w     24 calls
| | | JK: J1                        :      2.000u      0.067s      0.193w     24 calls
| | | JK: J2                        :      1.983u      0.017s      0.176w     24 calls
| | JK: K                           :    125.367u      0.983s      9.608w     24 calls
| | | JK: K1                        :     84.083u      0.800s      6.470w     24 calls
| | | JK: K2                        :     41.283u      0.167s      3.135w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.683u      0.267s      0.593w     11 calls
HF: Form C                          :      3.617u      1.050s      1.755w     11 calls

**************************************************************************************
