
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:43:20 2026
Timers Off: Sun Aug  9 02:44:11 2026

Wall Time:       50.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.617u      0.017s      0.407w      1 calls
build grid                          :      3.450u      0.017s      0.297w      1 calls
post-process grid                   :      0.167u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.110w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.017s      0.215w     11 calls
JK: (A|Q)^-1                        :      2.067u      0.350s      0.818w      1 calls
JK: (A|mn)                          :      5.517u      0.183s      0.426w      1 calls
JK: (Q|mn)                          :     31.933u      0.050s      2.565w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.583s      0.481w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
SAD Guess                           :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    507.367u      7.150s     41.514w     13 calls
RV: Form V                          :    367.650u      0.783s     27.782w     13 calls
Properties                          :    116.225p                          60281 calls
Functional                          :      3.962p                          60281 calls
V_xc                                :    101.693p                          60281 calls
JK: D                               :      0.067u      0.000s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :    139.650u      6.367s     13.718w     13 calls
JK: (Q|mn) Read                     :      0.067u      4.233s      2.572w     26 calls
JK: J                               :      4.950u      0.433s      0.469w     26 calls
JK: J1                              :      2.750u      0.417s      0.258w     26 calls
JK: J2                              :      2.200u      0.017s      0.198w     26 calls
JK: K                               :    134.617u      0.983s     10.256w     26 calls
JK: K1                              :     91.250u      0.817s      6.972w     26 calls
JK: K2                              :     43.367u      0.167s      3.282w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.750u      0.267s      0.552w     12 calls
HF: Form C                          :      3.883u      1.167s      1.879w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.617u      0.017s      0.407w      1 calls
| build grid                        :      3.450u      0.017s      0.297w      1 calls
| post-process grid                 :      0.167u      0.000s      0.110w      1 calls
DFH: sparsity prep                  :      0.183u      0.017s      0.110w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.073w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.141w      2 calls
JK: (A|Q)^-1                        :      2.067u      0.350s      0.818w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.517u      0.183s      0.426w      1 calls
JK: (Q|mn)                          :     31.933u      0.050s      2.565w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.583s      0.481w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.267u      0.083s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.057w      1 calls
HF: Form G                          :    507.367u      7.150s     41.514w     13 calls
| RV: Form V                        :    367.650u      0.783s     27.782w     13 calls
| | Properties                      :    116.225p                          60281 calls
| | Functional                      :      3.962p                          60281 calls
| | V_xc                            :    101.693p                          60281 calls
| JK: D                             :      0.067u      0.000s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :    139.650u      6.367s     13.718w     13 calls
| | JK: (Q|mn) Read                 :      0.067u      4.233s      2.572w     26 calls
| | JK: J                           :      4.950u      0.433s      0.469w     26 calls
| | | JK: J1                        :      2.750u      0.417s      0.258w     26 calls
| | | JK: J2                        :      2.200u      0.017s      0.198w     26 calls
| | JK: K                           :    134.617u      0.983s     10.256w     26 calls
| | | JK: K1                        :     91.250u      0.817s      6.972w     26 calls
| | | JK: K2                        :     43.367u      0.167s      3.282w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.750u      0.267s      0.552w     12 calls
HF: Form C                          :      3.883u      1.167s      1.879w     12 calls

**************************************************************************************
