
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:44:16 2026
Timers Off: Sun Aug  9 02:45:08 2026

Wall Time:       51.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.267u      0.017s      0.473w      1 calls
build grid                          :      4.083u      0.017s      0.358w      1 calls
post-process grid                   :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
Libint2ERI::Libint2ERI              :      0.417u      0.000s      0.249w     11 calls
JK: (A|Q)^-1                        :      2.550u      0.383s      0.962w      1 calls
JK: (A|mn)                          :      5.633u      0.183s      0.435w      1 calls
JK: (Q|mn)                          :     31.850u      0.050s      2.551w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.217s      0.139w      1 calls
HF: Form core H                     :      0.300u      0.017s      0.027w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.129w      1 calls
HF: Guess                           :      0.100u      0.067s      0.053w      1 calls
SAD Guess                           :      0.100u      0.067s      0.052w      1 calls
HF: Form G                          :    508.933u      7.750s     42.148w     12 calls
RV: Form V                          :    351.717u      0.933s     26.782w     12 calls
Properties                          :    114.502p                          59544 calls
Functional                          :      3.939p                          59544 calls
V_xc                                :     95.466p                          59544 calls
JK: D                               :      0.100u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    157.100u      6.750s     15.351w     12 calls
JK: (Q|mn) Read                     :      0.017u      4.300s      2.643w     24 calls
JK: J                               :      4.933u      0.400s      0.483w     24 calls
JK: J1                              :      2.783u      0.400s      0.270w     24 calls
JK: J2                              :      2.117u      0.000s      0.200w     24 calls
JK: K                               :    152.117u      1.533s     11.908w     24 calls
JK: K1                              :     94.383u      1.133s      7.389w     24 calls
JK: K2                              :     57.733u      0.400s      4.517w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.017u      0.283s      0.599w     11 calls
HF: Form C                          :      4.650u      1.250s      2.187w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.267u      0.017s      0.473w      1 calls
| build grid                        :      4.083u      0.017s      0.358w      1 calls
| post-process grid                 :      0.183u      0.000s      0.115w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.084w      1 calls
Libint2ERI::Libint2ERI              :      0.267u      0.000s      0.164w      2 calls
JK: (A|Q)^-1                        :      2.550u      0.383s      0.962w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.633u      0.183s      0.435w      1 calls
JK: (Q|mn)                          :     31.850u      0.050s      2.551w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.217s      0.139w      1 calls
HF: Form core H                     :      0.300u      0.017s      0.027w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.129w      1 calls
HF: Guess                           :      0.100u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.052w      1 calls
HF: Form G                          :    508.933u      7.750s     42.148w     12 calls
| RV: Form V                        :    351.717u      0.933s     26.782w     12 calls
| | Properties                      :    114.502p                          59544 calls
| | Functional                      :      3.939p                          59544 calls
| | V_xc                            :     95.466p                          59544 calls
| JK: D                             :      0.100u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    157.100u      6.750s     15.351w     12 calls
| | JK: (Q|mn) Read                 :      0.017u      4.300s      2.643w     24 calls
| | JK: J                           :      4.933u      0.400s      0.483w     24 calls
| | | JK: J1                        :      2.783u      0.400s      0.270w     24 calls
| | | JK: J2                        :      2.117u      0.000s      0.200w     24 calls
| | JK: K                           :    152.117u      1.533s     11.908w     24 calls
| | | JK: K1                        :     94.383u      1.133s      7.389w     24 calls
| | | JK: K2                        :     57.733u      0.400s      4.517w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.017u      0.283s      0.599w     11 calls
HF: Form C                          :      4.650u      1.250s      2.187w     11 calls

**************************************************************************************
