
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:45:11 2026
Timers Off: Sun Aug  9 02:46:03 2026

Wall Time:       51.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.317u      0.033s      0.484w      1 calls
build grid                          :      4.117u      0.017s      0.365w      1 calls
post-process grid                   :      0.200u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.000s      0.248w     11 calls
JK: (A|Q)^-1                        :      2.817u      0.417s      1.003w      1 calls
JK: (A|mn)                          :      5.717u      0.183s      0.443w      1 calls
JK: (Q|mn)                          :     36.717u      0.083s      2.936w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.483s      0.474w      1 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.333u      0.083s      0.148w      1 calls
HF: Guess                           :      0.133u      0.083s      0.057w      1 calls
SAD Guess                           :      0.133u      0.083s      0.056w      1 calls
HF: Form G                          :    501.383u      7.333s     41.267w     12 calls
RV: Form V                          :    345.950u      0.817s     26.376w     12 calls
Properties                          :    112.887p                          59292 calls
Functional                          :      3.920p                          59292 calls
V_xc                                :     93.867p                          59292 calls
JK: D                               :      0.033u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    155.383u      6.517s     14.877w     12 calls
JK: (Q|mn) Read                     :      0.050u      4.233s      2.590w     24 calls
JK: J                               :      5.033u      0.417s      0.468w     24 calls
JK: J1                              :      2.783u      0.417s      0.258w     24 calls
JK: J2                              :      2.150u      0.000s      0.196w     24 calls
JK: K                               :    150.217u      1.317s     11.504w     24 calls
JK: K1                              :     94.883u      1.067s      7.304w     24 calls
JK: K2                              :     55.333u      0.250s      4.199w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.883u      0.267s      0.656w     11 calls
HF: Form C                          :      4.550u      1.200s      2.148w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.317u      0.033s      0.484w      1 calls
| build grid                        :      4.117u      0.017s      0.365w      1 calls
| post-process grid                 :      0.200u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.084w      1 calls
Libint2ERI::Libint2ERI              :      0.283u      0.000s      0.163w      2 calls
JK: (A|Q)^-1                        :      2.817u      0.417s      1.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.717u      0.183s      0.443w      1 calls
JK: (Q|mn)                          :     36.717u      0.083s      2.936w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.483s      0.474w      1 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.333u      0.083s      0.148w      1 calls
HF: Guess                           :      0.133u      0.083s      0.057w      1 calls
| SAD Guess                         :      0.133u      0.083s      0.056w      1 calls
HF: Form G                          :    501.383u      7.333s     41.267w     12 calls
| RV: Form V                        :    345.950u      0.817s     26.376w     12 calls
| | Properties                      :    112.887p                          59292 calls
| | Functional                      :      3.920p                          59292 calls
| | V_xc                            :     93.867p                          59292 calls
| JK: D                             :      0.033u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    155.383u      6.517s     14.877w     12 calls
| | JK: (Q|mn) Read                 :      0.050u      4.233s      2.590w     24 calls
| | JK: J                           :      5.033u      0.417s      0.468w     24 calls
| | | JK: J1                        :      2.783u      0.417s      0.258w     24 calls
| | | JK: J2                        :      2.150u      0.000s      0.196w     24 calls
| | JK: K                           :    150.217u      1.317s     11.504w     24 calls
| | | JK: K1                        :     94.883u      1.067s      7.304w     24 calls
| | | JK: K2                        :     55.333u      0.250s      4.199w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.883u      0.267s      0.656w     11 calls
HF: Form C                          :      4.550u      1.200s      2.148w     11 calls

**************************************************************************************
