
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:46:07 2026
Timers Off: Sun Aug  9 02:46:56 2026

Wall Time:       49.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.250u      0.033s      0.479w      1 calls
build grid                          :      4.050u      0.017s      0.354w      1 calls
post-process grid                   :      0.200u      0.017s      0.125w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.125w      1 calls
Libint2ERI::Libint2ERI              :      0.417u      0.017s      0.247w     11 calls
JK: (A|Q)^-1                        :      2.600u      0.400s      0.983w      1 calls
JK: (A|mn)                          :      5.633u      0.183s      0.437w      1 calls
JK: (Q|mn)                          :     32.400u      0.050s      2.590w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.233s      0.145w      1 calls
HF: Form core H                     :      0.283u      0.017s      0.027w      1 calls
HF: Form S/X                        :      0.300u      0.083s      0.127w      1 calls
HF: Guess                           :      0.117u      0.050s      0.052w      1 calls
SAD Guess                           :      0.117u      0.050s      0.051w      1 calls
HF: Form G                          :    484.233u      6.450s     39.468w     12 calls
RV: Form V                          :    331.733u      0.550s     25.018w     12 calls
Properties                          :    107.235p                          59328 calls
Functional                          :      3.712p                          59328 calls
V_xc                                :     88.936p                          59328 calls
JK: D                               :      0.083u      0.000s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    152.400u      5.900s     14.438w     12 calls
JK: (Q|mn) Read                     :      0.067u      4.000s      2.461w     24 calls
JK: J                               :      4.717u      0.350s      0.448w     24 calls
JK: J1                              :      2.583u      0.350s      0.247w     24 calls
JK: J2                              :      2.133u      0.000s      0.189w     24 calls
JK: K                               :    147.600u      1.050s     11.226w     24 calls
JK: K1                              :     94.217u      0.850s      7.193w     24 calls
JK: K2                              :     53.383u      0.200s      4.031w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.900u      0.250s      0.581w     11 calls
HF: Form C                          :      4.333u      1.067s      2.041w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.250u      0.033s      0.479w      1 calls
| build grid                        :      4.050u      0.017s      0.354w      1 calls
| post-process grid                 :      0.200u      0.017s      0.125w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.125w      1 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.083w      1 calls
Libint2ERI::Libint2ERI              :      0.267u      0.017s      0.162w      2 calls
JK: (A|Q)^-1                        :      2.600u      0.400s      0.983w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.633u      0.183s      0.437w      1 calls
JK: (Q|mn)                          :     32.400u      0.050s      2.590w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.233s      0.145w      1 calls
HF: Form core H                     :      0.283u      0.017s      0.027w      1 calls
HF: Form S/X                        :      0.300u      0.083s      0.127w      1 calls
HF: Guess                           :      0.117u      0.050s      0.052w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.051w      1 calls
HF: Form G                          :    484.233u      6.450s     39.468w     12 calls
| RV: Form V                        :    331.733u      0.550s     25.018w     12 calls
| | Properties                      :    107.235p                          59328 calls
| | Functional                      :      3.712p                          59328 calls
| | V_xc                            :     88.936p                          59328 calls
| JK: D                             :      0.083u      0.000s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    152.400u      5.900s     14.438w     12 calls
| | JK: (Q|mn) Read                 :      0.067u      4.000s      2.461w     24 calls
| | JK: J                           :      4.717u      0.350s      0.448w     24 calls
| | | JK: J1                        :      2.583u      0.350s      0.247w     24 calls
| | | JK: J2                        :      2.133u      0.000s      0.189w     24 calls
| | JK: K                           :    147.600u      1.050s     11.226w     24 calls
| | | JK: K1                        :     94.217u      0.850s      7.193w     24 calls
| | | JK: K2                        :     53.383u      0.200s      4.031w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.003w     12 calls
HF: Form D                          :      0.033u      0.000s      0.004w     12 calls
HF: DIIS                            :      1.900u      0.250s      0.581w     11 calls
HF: Form C                          :      4.333u      1.067s      2.041w     11 calls

**************************************************************************************
