
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:46:57 2026
Timers Off: Sun Aug  9 02:47:47 2026

Wall Time:       50.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.400u      0.017s      0.502w      1 calls
build grid                          :      4.200u      0.017s      0.375w      1 calls
post-process grid                   :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.017s      0.248w     11 calls
JK: (A|Q)^-1                        :      2.550u      0.400s      0.982w      1 calls
JK: (A|mn)                          :      6.517u      0.183s      0.506w      1 calls
JK: (Q|mn)                          :     38.800u      0.067s      3.089w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.267s      0.163w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.124w      1 calls
HF: Guess                           :      0.117u      0.067s      0.051w      1 calls
SAD Guess                           :      0.117u      0.067s      0.050w      1 calls
HF: Form G                          :    487.650u      6.633s     39.860w     12 calls
RV: Form V                          :    335.250u      0.433s     25.287w     12 calls
Properties                          :    108.274p                          59148 calls
Functional                          :      3.657p                          59148 calls
V_xc                                :     89.931p                          59148 calls
JK: D                               :      0.017u      0.017s      0.005w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    152.383u      6.167s     14.559w     12 calls
JK: (Q|mn) Read                     :      0.067u      4.217s      2.552w     24 calls
JK: J                               :      4.967u      0.400s      0.475w     24 calls
JK: J1                              :      2.750u      0.383s      0.266w     24 calls
JK: J2                              :      2.183u      0.017s      0.196w     24 calls
JK: K                               :    147.300u      1.017s     11.223w     24 calls
JK: K1                              :     95.217u      0.883s      7.280w     24 calls
JK: K2                              :     52.083u      0.133s      3.942w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.005w     12 calls
HF: DIIS                            :      1.883u      0.217s      0.534w     11 calls
HF: Form C                          :      4.350u      1.100s      2.040w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.400u      0.017s      0.502w      1 calls
| build grid                        :      4.200u      0.017s      0.375w      1 calls
| post-process grid                 :      0.200u      0.000s      0.126w      1 calls
DFH: sparsity prep                  :      0.217u      0.000s      0.127w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.084w      1 calls
Libint2ERI::Libint2ERI              :      0.267u      0.017s      0.162w      2 calls
JK: (A|Q)^-1                        :      2.550u      0.400s      0.982w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      6.517u      0.183s      0.506w      1 calls
JK: (Q|mn)                          :     38.800u      0.067s      3.089w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.267s      0.163w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.300u      0.067s      0.124w      1 calls
HF: Guess                           :      0.117u      0.067s      0.051w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.050w      1 calls
HF: Form G                          :    487.650u      6.633s     39.860w     12 calls
| RV: Form V                        :    335.250u      0.433s     25.287w     12 calls
| | Properties                      :    108.274p                          59148 calls
| | Functional                      :      3.657p                          59148 calls
| | V_xc                            :     89.931p                          59148 calls
| JK: D                             :      0.017u      0.017s      0.005w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    152.383u      6.167s     14.559w     12 calls
| | JK: (Q|mn) Read                 :      0.067u      4.217s      2.552w     24 calls
| | JK: J                           :      4.967u      0.400s      0.475w     24 calls
| | | JK: J1                        :      2.750u      0.383s      0.266w     24 calls
| | | JK: J2                        :      2.183u      0.017s      0.196w     24 calls
| | JK: K                           :    147.300u      1.017s     11.223w     24 calls
| | | JK: K1                        :     95.217u      0.883s      7.280w     24 calls
| | | JK: K2                        :     52.083u      0.133s      3.942w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.003w     12 calls
HF: Form D                          :      0.050u      0.000s      0.005w     12 calls
HF: DIIS                            :      1.883u      0.217s      0.534w     11 calls
HF: Form C                          :      4.350u      1.100s      2.040w     11 calls

**************************************************************************************
