
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:48:43 2026
Timers Off: Sun Aug  9 02:49:28 2026

Wall Time:       44.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.000u      0.017s      0.352w      1 calls
build grid                          :      2.850u      0.000s      0.253w      1 calls
post-process grid                   :      0.150u      0.017s      0.099w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.113w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.221w     11 calls
JK: (A|Q)^-1                        :      2.183u      0.367s      0.857w      1 calls
JK: (A|mn)                          :      4.850u      0.150s      0.376w      1 calls
JK: (Q|mn)                          :     27.750u      0.033s      2.219w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.455w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.217u      0.067s      0.101w      1 calls
HF: Guess                           :      0.117u      0.083s      0.063w      1 calls
SAD Guess                           :      0.117u      0.083s      0.062w      1 calls
HF: Form G                          :    444.283u      6.417s     36.476w     13 calls
RV: Form V                          :    304.350u      0.400s     22.943w     13 calls
Properties                          :     97.738p                          56355 calls
Functional                          :      3.443p                          56355 calls
V_xc                                :     82.091p                          56355 calls
JK: D                               :      0.033u      0.017s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    139.867u      6.000s     13.517w     13 calls
JK: (Q|mn) Read                     :      0.083u      3.883s      2.392w     26 calls
JK: J                               :      4.767u      0.433s      0.464w     26 calls
JK: J1                              :      2.650u      0.400s      0.261w     26 calls
JK: J2                              :      2.100u      0.033s      0.190w     26 calls
JK: K                               :    134.950u      0.983s     10.280w     26 calls
JK: K1                              :     88.733u      0.833s      6.784w     26 calls
JK: K2                              :     46.217u      0.150s      3.493w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.033u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.633u      0.217s      0.509w     12 calls
HF: Form C                          :      3.817u      1.100s      1.835w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.000u      0.017s      0.352w      1 calls
| build grid                        :      2.850u      0.000s      0.253w      1 calls
| post-process grid                 :      0.150u      0.017s      0.099w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.113w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.075w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.145w      2 calls
JK: (A|Q)^-1                        :      2.183u      0.367s      0.857w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      4.850u      0.150s      0.376w      1 calls
JK: (Q|mn)                          :     27.750u      0.033s      2.219w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.455w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.021w      1 calls
HF: Form S/X                        :      0.217u      0.067s      0.101w      1 calls
HF: Guess                           :      0.117u      0.083s      0.063w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.062w      1 calls
HF: Form G                          :    444.283u      6.417s     36.476w     13 calls
| RV: Form V                        :    304.350u      0.400s     22.943w     13 calls
| | Properties                      :     97.738p                          56355 calls
| | Functional                      :      3.443p                          56355 calls
| | V_xc                            :     82.091p                          56355 calls
| JK: D                             :      0.033u      0.017s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    139.867u      6.000s     13.517w     13 calls
| | JK: (Q|mn) Read                 :      0.083u      3.883s      2.392w     26 calls
| | JK: J                           :      4.767u      0.433s      0.464w     26 calls
| | | JK: J1                        :      2.650u      0.400s      0.261w     26 calls
| | | JK: J2                        :      2.100u      0.033s      0.190w     26 calls
| | JK: K                           :    134.950u      0.983s     10.280w     26 calls
| | | JK: K1                        :     88.733u      0.833s      6.784w     26 calls
| | | JK: K2                        :     46.217u      0.150s      3.493w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.033u      0.000s      0.004w     13 calls
HF: DIIS                            :      1.633u      0.217s      0.509w     12 calls
HF: Form C                          :      3.817u      1.100s      1.835w     12 calls

**************************************************************************************
