
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:49:28 2026
Timers Off: Sun Aug  9 02:50:10 2026

Wall Time:       42.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.083u      0.017s      0.364w      1 calls
build grid                          :      2.917u      0.000s      0.257w      1 calls
post-process grid                   :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.115w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.224w     11 calls
JK: (A|Q)^-1                        :      2.100u      0.367s      0.825w      1 calls
JK: (A|mn)                          :      5.617u      0.167s      0.435w      1 calls
JK: (Q|mn)                          :     34.933u      0.050s      2.769w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.139w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.106w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
SAD Guess                           :      0.117u      0.083s      0.061w      1 calls
HF: Form G                          :    405.817u      5.633s     33.228w     12 calls
RV: Form V                          :    277.083u      0.350s     20.894w     12 calls
Properties                          :     88.139p                          52344 calls
Functional                          :      3.207p                          52344 calls
V_xc                                :     75.400p                          52344 calls
JK: D                               :      0.050u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :    128.667u      5.267s     12.321w     12 calls
JK: (Q|mn) Read                     :      0.033u      3.517s      2.152w     24 calls
JK: J                               :      4.567u      0.367s      0.424w     24 calls
JK: J1                              :      2.600u      0.367s      0.240w     24 calls
JK: J2                              :      1.933u      0.000s      0.172w     24 calls
JK: K                               :    124.067u      1.000s      9.487w     24 calls
JK: K1                              :     81.517u      0.850s      6.265w     24 calls
JK: K2                              :     42.533u      0.150s      3.220w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.567u      0.217s      0.494w     11 calls
HF: Form C                          :      3.500u      1.000s      1.706w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.083u      0.017s      0.364w      1 calls
| build grid                        :      2.917u      0.000s      0.257w      1 calls
| post-process grid                 :      0.167u      0.017s      0.106w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.115w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.076w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.147w      2 calls
JK: (A|Q)^-1                        :      2.100u      0.367s      0.825w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.617u      0.167s      0.435w      1 calls
JK: (Q|mn)                          :     34.933u      0.050s      2.769w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.139w      1 calls
HF: Form core H                     :      0.217u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.233u      0.067s      0.106w      1 calls
HF: Guess                           :      0.117u      0.083s      0.062w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.061w      1 calls
HF: Form G                          :    405.817u      5.633s     33.228w     12 calls
| RV: Form V                        :    277.083u      0.350s     20.894w     12 calls
| | Properties                      :     88.139p                          52344 calls
| | Functional                      :      3.207p                          52344 calls
| | V_xc                            :     75.400p                          52344 calls
| JK: D                             :      0.050u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :    128.667u      5.267s     12.321w     12 calls
| | JK: (Q|mn) Read                 :      0.033u      3.517s      2.152w     24 calls
| | JK: J                           :      4.567u      0.367s      0.424w     24 calls
| | | JK: J1                        :      2.600u      0.367s      0.240w     24 calls
| | | JK: J2                        :      1.933u      0.000s      0.172w     24 calls
| | JK: K                           :    124.067u      1.000s      9.487w     24 calls
| | | JK: K1                        :     81.517u      0.850s      6.265w     24 calls
| | | JK: K2                        :     42.533u      0.150s      3.220w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.033u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.567u      0.217s      0.494w     11 calls
HF: Form C                          :      3.500u      1.000s      1.706w     11 calls

**************************************************************************************
