
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:50:59 2026
Timers Off: Sun Aug  9 02:51:43 2026

Wall Time:       44.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.000u      0.017s      0.346w      1 calls
build grid                          :      2.833u      0.000s      0.249w      1 calls
post-process grid                   :      0.167u      0.017s      0.097w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.225w     11 calls
JK: (A|Q)^-1                        :      2.283u      0.383s      0.834w      1 calls
JK: (A|mn)                          :      4.833u      0.150s      0.375w      1 calls
JK: (Q|mn)                          :     28.183u      0.050s      2.263w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.168w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.100w      1 calls
HF: Guess                           :      0.117u      0.083s      0.059w      1 calls
SAD Guess                           :      0.100u      0.083s      0.058w      1 calls
HF: Form G                          :    436.933u      5.900s     35.876w     13 calls
RV: Form V                          :    297.233u      0.433s     22.551w     13 calls
Properties                          :     95.553p                          56576 calls
Functional                          :      3.488p                          56576 calls
V_xc                                :     81.044p                          56576 calls
JK: D                               :      0.067u      0.000s      0.006w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    139.633u      5.467s     13.309w     13 calls
JK: (Q|mn) Read                     :      0.100u      3.750s      2.312w     26 calls
JK: J                               :      4.350u      0.183s      0.424w     26 calls
JK: J1                              :      2.250u      0.183s      0.226w     26 calls
JK: J2                              :      2.100u      0.000s      0.185w     26 calls
JK: K                               :    135.150u      1.000s     10.293w     26 calls
JK: K1                              :     88.567u      0.883s      6.768w     26 calls
JK: K2                              :     46.583u      0.117s      3.523w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.700u      0.217s      0.525w     12 calls
HF: Form C                          :      3.917u      1.133s      1.890w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.000u      0.017s      0.346w      1 calls
| build grid                        :      2.833u      0.000s      0.249w      1 calls
| post-process grid                 :      0.167u      0.017s      0.097w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.116w      1 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.000s      0.077w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.147w      2 calls
JK: (A|Q)^-1                        :      2.283u      0.383s      0.834w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      4.833u      0.150s      0.375w      1 calls
JK: (Q|mn)                          :     28.183u      0.050s      2.263w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.168w      1 calls
HF: Form core H                     :      0.250u      0.000s      0.024w      1 calls
HF: Form S/X                        :      0.200u      0.083s      0.100w      1 calls
HF: Guess                           :      0.117u      0.083s      0.059w      1 calls
| SAD Guess                         :      0.100u      0.083s      0.058w      1 calls
HF: Form G                          :    436.933u      5.900s     35.876w     13 calls
| RV: Form V                        :    297.233u      0.433s     22.551w     13 calls
| | Properties                      :     95.553p                          56576 calls
| | Functional                      :      3.488p                          56576 calls
| | V_xc                            :     81.044p                          56576 calls
| JK: D                             :      0.067u      0.000s      0.006w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    139.633u      5.467s     13.309w     13 calls
| | JK: (Q|mn) Read                 :      0.100u      3.750s      2.312w     26 calls
| | JK: J                           :      4.350u      0.183s      0.424w     26 calls
| | | JK: J1                        :      2.250u      0.183s      0.226w     26 calls
| | | JK: J2                        :      2.100u      0.000s      0.185w     26 calls
| | JK: K                           :    135.150u      1.000s     10.293w     26 calls
| | | JK: K1                        :     88.567u      0.883s      6.768w     26 calls
| | | JK: K2                        :     46.583u      0.117s      3.523w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.003w     13 calls
HF: Form D                          :      0.050u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.700u      0.217s      0.525w     12 calls
HF: Form C                          :      3.917u      1.133s      1.890w     12 calls

**************************************************************************************
