
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:51:44 2026
Timers Off: Sun Aug  9 02:52:29 2026

Wall Time:       44.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.067u      0.017s      0.356w      1 calls
build grid                          :      2.900u      0.000s      0.248w      1 calls
post-process grid                   :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.115w      1 calls
Libint2ERI::Libint2ERI              :      0.350u      0.000s      0.224w     11 calls
JK: (A|Q)^-1                        :      2.150u      0.367s      0.830w      1 calls
JK: (A|mn)                          :      5.400u      0.167s      0.419w      1 calls
JK: (Q|mn)                          :     34.367u      0.117s      2.767w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.583s      0.537w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.115w      1 calls
HF: Guess                           :      0.117u      0.083s      0.066w      1 calls
SAD Guess                           :      0.117u      0.067s      0.065w      1 calls
HF: Form G                          :    433.633u      6.417s     35.656w     13 calls
RV: Form V                          :    294.033u      0.467s     22.201w     13 calls
Properties                          :     93.778p                          56407 calls
Functional                          :      3.415p                          56407 calls
V_xc                                :     80.170p                          56407 calls
JK: D                               :      0.050u      0.017s      0.005w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    139.550u      5.933s     13.442w     13 calls
JK: (Q|mn) Read                     :      0.067u      3.817s      2.324w     26 calls
JK: J                               :      4.667u      0.417s      0.448w     26 calls
JK: J1                              :      2.567u      0.400s      0.250w     26 calls
JK: J2                              :      2.033u      0.017s      0.185w     26 calls
JK: K                               :    134.783u      1.017s     10.290w     26 calls
JK: K1                              :     88.933u      0.817s      6.811w     26 calls
JK: K2                              :     45.850u      0.200s      3.477w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.683u      0.233s      0.513w     12 calls
HF: Form C                          :      3.783u      1.117s      1.839w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.067u      0.017s      0.356w      1 calls
| build grid                        :      2.900u      0.000s      0.248w      1 calls
| post-process grid                 :      0.167u      0.017s      0.108w      1 calls
DFH: sparsity prep                  :      0.183u      0.000s      0.115w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.076w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.146w      2 calls
JK: (A|Q)^-1                        :      2.150u      0.367s      0.830w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      5.400u      0.167s      0.419w      1 calls
JK: (Q|mn)                          :     34.367u      0.117s      2.767w      1 calls
JK: (Q|mn) Write                    :      0.017u      0.583s      0.537w      1 calls
HF: Form core H                     :      0.233u      0.000s      0.022w      1 calls
HF: Form S/X                        :      0.250u      0.083s      0.115w      1 calls
HF: Guess                           :      0.117u      0.083s      0.066w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.065w      1 calls
HF: Form G                          :    433.633u      6.417s     35.656w     13 calls
| RV: Form V                        :    294.033u      0.467s     22.201w     13 calls
| | Properties                      :     93.778p                          56407 calls
| | Functional                      :      3.415p                          56407 calls
| | V_xc                            :     80.170p                          56407 calls
| JK: D                             :      0.050u      0.017s      0.005w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    139.550u      5.933s     13.442w     13 calls
| | JK: (Q|mn) Read                 :      0.067u      3.817s      2.324w     26 calls
| | JK: J                           :      4.667u      0.417s      0.448w     26 calls
| | | JK: J1                        :      2.567u      0.400s      0.250w     26 calls
| | | JK: J2                        :      2.033u      0.017s      0.185w     26 calls
| | JK: K                           :    134.783u      1.017s     10.290w     26 calls
| | | JK: K1                        :     88.933u      0.817s      6.811w     26 calls
| | | JK: K2                        :     45.850u      0.200s      3.477w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.003w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.683u      0.233s      0.513w     12 calls
HF: Form C                          :      3.783u      1.117s      1.839w     12 calls

**************************************************************************************
