
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:52:29 2026
Timers Off: Sun Aug  9 02:53:33 2026

Wall Time:       63.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.217u      0.033s      0.478w      1 calls
build grid                          :      3.983u      0.017s      0.338w      1 calls
post-process grid                   :      0.233u      0.017s      0.140w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.157w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.307w     11 calls
JK: (A|Q)^-1                        :      3.083u      0.467s      1.156w      1 calls
JK: (A|mn)                          :      9.083u      0.250s      0.704w      1 calls
JK: (Q|mn)                          :     59.000u      0.233s      4.751w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.817s      0.854w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.233w      1 calls
HF: Form S/X                        :      0.383u      0.117s      0.157w      1 calls
HF: Guess                           :      0.117u      0.067s      0.049w      1 calls
SAD Guess                           :      0.117u      0.067s      0.048w      1 calls
HF: Form G                          :    611.800u      9.100s     50.479w     12 calls
RV: Form V                          :    404.400u      0.667s     30.531w     12 calls
Properties                          :    131.247p                          56952 calls
Functional                          :      3.642p                          56952 calls
V_xc                                :    108.872p                          56952 calls
JK: D                               :      0.033u      0.000s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    207.333u      8.417s     19.930w     12 calls
JK: (Q|mn) Read                     :      0.117u      5.683s      3.476w     24 calls
JK: J                               :      5.900u      0.233s      0.566w     24 calls
JK: J1                              :      3.017u      0.233s      0.305w     24 calls
JK: J2                              :      2.850u      0.000s      0.244w     24 calls
JK: K                               :    201.233u      1.533s     15.346w     24 calls
JK: K1                              :    126.150u      1.233s      9.649w     24 calls
JK: K2                              :     75.083u      0.300s      5.696w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.004w     12 calls
HF: Form D                          :      0.033u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.183u      0.283s      0.674w     11 calls
HF: Form C                          :      5.067u      1.183s      2.313w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.217u      0.033s      0.478w      1 calls
| build grid                        :      3.983u      0.017s      0.338w      1 calls
| post-process grid                 :      0.233u      0.017s      0.140w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.157w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.104w      1 calls
Libint2ERI::Libint2ERI              :      0.333u      0.000s      0.202w      2 calls
JK: (A|Q)^-1                        :      3.083u      0.467s      1.156w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      9.083u      0.250s      0.704w      1 calls
JK: (Q|mn)                          :     59.000u      0.233s      4.751w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.817s      0.854w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.233w      1 calls
HF: Form S/X                        :      0.383u      0.117s      0.157w      1 calls
HF: Guess                           :      0.117u      0.067s      0.049w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.048w      1 calls
HF: Form G                          :    611.800u      9.100s     50.479w     12 calls
| RV: Form V                        :    404.400u      0.667s     30.531w     12 calls
| | Properties                      :    131.247p                          56952 calls
| | Functional                      :      3.642p                          56952 calls
| | V_xc                            :    108.872p                          56952 calls
| JK: D                             :      0.033u      0.000s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    207.333u      8.417s     19.930w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      5.683s      3.476w     24 calls
| | JK: J                           :      5.900u      0.233s      0.566w     24 calls
| | | JK: J1                        :      3.017u      0.233s      0.305w     24 calls
| | | JK: J2                        :      2.850u      0.000s      0.244w     24 calls
| | JK: K                           :    201.233u      1.533s     15.346w     24 calls
| | | JK: K1                        :    126.150u      1.233s      9.649w     24 calls
| | | JK: K2                        :     75.083u      0.300s      5.696w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.004w     12 calls
HF: Form D                          :      0.033u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.183u      0.283s      0.674w     11 calls
HF: Form C                          :      5.067u      1.183s      2.313w     11 calls

**************************************************************************************
