
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:53:35 2026
Timers Off: Sun Aug  9 02:54:39 2026

Wall Time:       64.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.000u      0.033s      0.442w      1 calls
build grid                          :      3.800u      0.017s      0.317w      1 calls
post-process grid                   :      0.200u      0.017s      0.126w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.156w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.017s      0.305w     11 calls
JK: (A|Q)^-1                        :      3.117u      0.517s      1.169w      1 calls
JK: (A|mn)                          :      8.100u      0.217s      0.625w      1 calls
JK: (Q|mn)                          :     55.050u      0.167s      4.379w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.867s      0.819w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.333u      0.083s      0.140w      1 calls
HF: Guess                           :      0.117u      0.050s      0.049w      1 calls
SAD Guess                           :      0.117u      0.050s      0.048w      1 calls
HF: Form G                          :    636.550u      8.633s     52.207w     12 calls
RV: Form V                          :    425.983u      0.600s     32.115w     12 calls
Properties                          :    138.390p                          57132 calls
Functional                          :      3.694p                          57132 calls
V_xc                                :    114.354p                          57132 calls
JK: D                               :      0.083u      0.000s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    210.417u      8.017s     20.073w     12 calls
JK: (Q|mn) Read                     :      0.083u      5.700s      3.478w     24 calls
JK: J                               :      5.967u      0.100s      0.557w     24 calls
JK: J1                              :      3.067u      0.100s      0.292w     24 calls
JK: J2                              :      2.900u      0.000s      0.249w     24 calls
JK: K                               :    204.333u      1.317s     15.540w     24 calls
JK: K1                              :    133.200u      1.100s     10.152w     24 calls
JK: K2                              :     71.133u      0.217s      5.386w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.217u      0.283s      0.642w     11 calls
HF: Form C                          :      5.083u      1.133s      2.320w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.000u      0.033s      0.442w      1 calls
| build grid                        :      3.800u      0.017s      0.317w      1 calls
| post-process grid                 :      0.200u      0.017s      0.126w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.156w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.103w      1 calls
Libint2ERI::Libint2ERI              :      0.333u      0.017s      0.201w      2 calls
JK: (A|Q)^-1                        :      3.117u      0.517s      1.169w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.100u      0.217s      0.625w      1 calls
JK: (Q|mn)                          :     55.050u      0.167s      4.379w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.867s      0.819w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.333u      0.083s      0.140w      1 calls
HF: Guess                           :      0.117u      0.050s      0.049w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.048w      1 calls
HF: Form G                          :    636.550u      8.633s     52.207w     12 calls
| RV: Form V                        :    425.983u      0.600s     32.115w     12 calls
| | Properties                      :    138.390p                          57132 calls
| | Functional                      :      3.694p                          57132 calls
| | V_xc                            :    114.354p                          57132 calls
| JK: D                             :      0.083u      0.000s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    210.417u      8.017s     20.073w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      5.700s      3.478w     24 calls
| | JK: J                           :      5.967u      0.100s      0.557w     24 calls
| | | JK: J1                        :      3.067u      0.100s      0.292w     24 calls
| | | JK: J2                        :      2.900u      0.000s      0.249w     24 calls
| | JK: K                           :    204.333u      1.317s     15.540w     24 calls
| | | JK: K1                        :    133.200u      1.100s     10.152w     24 calls
| | | JK: K2                        :     71.133u      0.217s      5.386w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.003w     12 calls
HF: Form D                          :      0.000u      0.000s      0.004w     12 calls
HF: DIIS                            :      2.217u      0.283s      0.642w     11 calls
HF: Form C                          :      5.083u      1.133s      2.320w     11 calls

**************************************************************************************
