
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:55:46 2026
Timers Off: Sun Aug  9 02:56:49 2026

Wall Time:       63.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.000u      0.033s      0.430w      1 calls
build grid                          :      3.800u      0.017s      0.312w      1 calls
post-process grid                   :      0.200u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.155w      1 calls
Libint2ERI::Libint2ERI              :      0.483u      0.000s      0.304w     11 calls
JK: (A|Q)^-1                        :      3.433u      0.600s      1.237w      1 calls
JK: (A|mn)                          :      8.583u      0.217s      0.660w      1 calls
JK: (Q|mn)                          :     54.950u      0.083s      4.347w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.853w      1 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.350u      0.083s      0.144w      1 calls
HF: Guess                           :      0.117u      0.067s      0.052w      1 calls
SAD Guess                           :      0.117u      0.067s      0.051w      1 calls
HF: Form G                          :    619.933u      8.233s     50.764w     12 calls
RV: Form V                          :    413.333u      0.567s     31.137w     12 calls
Properties                          :    134.032p                          56940 calls
Functional                          :      3.592p                          56940 calls
V_xc                                :    111.097p                          56940 calls
JK: D                               :      0.033u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    206.567u      7.667s     19.610w     12 calls
JK: (Q|mn) Read                     :      0.117u      5.550s      3.365w     24 calls
JK: J                               :      5.767u      0.083s      0.549w     24 calls
JK: J1                              :      2.933u      0.067s      0.286w     24 calls
JK: J2                              :      2.783u      0.017s      0.247w     24 calls
JK: K                               :    200.600u      1.233s     15.243w     24 calls
JK: K1                              :    130.383u      1.033s      9.936w     24 calls
JK: K2                              :     70.217u      0.200s      5.305w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.003w     12 calls
HF: Form D                          :      0.067u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.217u      0.267s      0.629w     11 calls
HF: Form C                          :      5.100u      1.200s      2.339w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.000u      0.033s      0.430w      1 calls
| build grid                        :      3.800u      0.017s      0.312w      1 calls
| post-process grid                 :      0.200u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.250u      0.000s      0.155w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.103w      1 calls
Libint2ERI::Libint2ERI              :      0.317u      0.000s      0.200w      2 calls
JK: (A|Q)^-1                        :      3.433u      0.600s      1.237w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.583u      0.217s      0.660w      1 calls
JK: (Q|mn)                          :     54.950u      0.083s      4.347w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.853w      1 calls
HF: Form core H                     :      0.317u      0.000s      0.029w      1 calls
HF: Form S/X                        :      0.350u      0.083s      0.144w      1 calls
HF: Guess                           :      0.117u      0.067s      0.052w      1 calls
| SAD Guess                         :      0.117u      0.067s      0.051w      1 calls
HF: Form G                          :    619.933u      8.233s     50.764w     12 calls
| RV: Form V                        :    413.333u      0.567s     31.137w     12 calls
| | Properties                      :    134.032p                          56940 calls
| | Functional                      :      3.592p                          56940 calls
| | V_xc                            :    111.097p                          56940 calls
| JK: D                             :      0.033u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    206.567u      7.667s     19.610w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      5.550s      3.365w     24 calls
| | JK: J                           :      5.767u      0.083s      0.549w     24 calls
| | | JK: J1                        :      2.933u      0.067s      0.286w     24 calls
| | | JK: J2                        :      2.783u      0.017s      0.247w     24 calls
| | JK: K                           :    200.600u      1.233s     15.243w     24 calls
| | | JK: K1                        :    130.383u      1.033s      9.936w     24 calls
| | | JK: K2                        :     70.217u      0.200s      5.305w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.033u      0.000s      0.003w     12 calls
HF: Form D                          :      0.067u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.217u      0.267s      0.629w     11 calls
HF: Form C                          :      5.100u      1.200s      2.339w     11 calls

**************************************************************************************
