
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:56:51 2026
Timers Off: Sun Aug  9 02:57:53 2026

Wall Time:       62.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      3.983u      0.033s      0.440w      1 calls
build grid                          :      3.800u      0.017s      0.323w      1 calls
post-process grid                   :      0.183u      0.017s      0.117w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.155w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.017s      0.305w     11 calls
JK: (A|Q)^-1                        :      3.000u      0.483s      1.150w      1 calls
JK: (A|mn)                          :      7.950u      0.233s      0.615w      1 calls
JK: (Q|mn)                          :     50.633u      0.083s      4.020w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.700s      1.301w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.029w      1 calls
HF: Form S/X                        :      0.350u      0.083s      0.142w      1 calls
HF: Guess                           :      0.117u      0.050s      0.051w      1 calls
SAD Guess                           :      0.117u      0.050s      0.050w      1 calls
HF: Form G                          :    605.817u      8.550s     49.884w     12 calls
RV: Form V                          :    402.517u      0.550s     30.459w     12 calls
Properties                          :    130.831p                          57216 calls
Functional                          :      3.617p                          57216 calls
V_xc                                :    108.771p                          57216 calls
JK: D                               :      0.050u      0.000s      0.006w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    203.183u      8.000s     19.407w     12 calls
JK: (Q|mn) Read                     :      0.050u      5.500s      3.354w     24 calls
JK: J                               :      6.033u      0.333s      0.570w     24 calls
JK: J1                              :      3.200u      0.333s      0.308w     24 calls
JK: J2                              :      2.800u      0.000s      0.247w     24 calls
JK: K                               :    197.017u      1.467s     15.079w     24 calls
JK: K1                              :    126.833u      1.150s      9.760w     24 calls
JK: K2                              :     70.183u      0.317s      5.317w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.067u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.300u      0.283s      0.632w     11 calls
HF: Form C                          :      5.100u      1.233s      2.342w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      3.983u      0.033s      0.440w      1 calls
| build grid                        :      3.800u      0.017s      0.323w      1 calls
| post-process grid                 :      0.183u      0.017s      0.117w      1 calls
DFH: sparsity prep                  :      0.267u      0.000s      0.155w      1 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.000s      0.103w      1 calls
Libint2ERI::Libint2ERI              :      0.333u      0.017s      0.201w      2 calls
JK: (A|Q)^-1                        :      3.000u      0.483s      1.150w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      7.950u      0.233s      0.615w      1 calls
JK: (Q|mn)                          :     50.633u      0.083s      4.020w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.700s      1.301w      1 calls
HF: Form core H                     :      0.317u      0.017s      0.029w      1 calls
HF: Form S/X                        :      0.350u      0.083s      0.142w      1 calls
HF: Guess                           :      0.117u      0.050s      0.051w      1 calls
| SAD Guess                         :      0.117u      0.050s      0.050w      1 calls
HF: Form G                          :    605.817u      8.550s     49.884w     12 calls
| RV: Form V                        :    402.517u      0.550s     30.459w     12 calls
| | Properties                      :    130.831p                          57216 calls
| | Functional                      :      3.617p                          57216 calls
| | V_xc                            :    108.771p                          57216 calls
| JK: D                             :      0.050u      0.000s      0.006w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    203.183u      8.000s     19.407w     12 calls
| | JK: (Q|mn) Read                 :      0.050u      5.500s      3.354w     24 calls
| | JK: J                           :      6.033u      0.333s      0.570w     24 calls
| | | JK: J1                        :      3.200u      0.333s      0.308w     24 calls
| | | JK: J2                        :      2.800u      0.000s      0.247w     24 calls
| | JK: K                           :    197.017u      1.467s     15.079w     24 calls
| | | JK: K1                        :    126.833u      1.150s      9.760w     24 calls
| | | JK: K2                        :     70.183u      0.317s      5.317w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.067u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.300u      0.283s      0.632w     11 calls
HF: Form C                          :      5.100u      1.233s      2.342w     11 calls

**************************************************************************************
