
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:57:57 2026
Timers Off: Sun Aug  9 02:58:30 2026

Wall Time:       32.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
build grid                          :      2.167u      0.017s      0.200w      1 calls
post-process grid                   :      0.117u      0.000s      0.080w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.121w     10 calls
DFH: initialize()                   :     18.433u      3.883s      2.972w      1 calls
DFH: AO Construction                :      3.100u      0.017s      0.683w     31 calls
DFH: AO-Met. Contraction            :     13.817u      3.717s      1.647w     31 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.067s      0.081w      1 calls
HF: Guess                           :      0.083u      0.050s      0.049w      1 calls
SAD Guess                           :      0.083u      0.050s      0.048w      1 calls
HF: Form G                          :    337.817u      0.750s     25.698w     13 calls
RV: Form V                          :    276.750u      0.367s     20.871w     13 calls
Properties                          :     89.975p                          50596 calls
Functional                          :      3.027p                          50596 calls
V_xc                                :     73.662p                          50596 calls
JK: D                               :      0.033u      0.000s      0.004w     13 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     13 calls
JK: JK                              :     61.017u      0.367s      4.814w     13 calls
DFH: compute_JK()                   :     61.017u      0.367s      4.813w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      5.000u      0.033s      0.386w     26 calls
DFH: compute_K                      :     55.950u      0.067s      4.234w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.517u      0.267s      0.580w     12 calls
HF: Form C                          :      3.200u      1.083s      1.610w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.280w      1 calls
| build grid                        :      2.167u      0.017s      0.200w      1 calls
| post-process grid                 :      0.117u      0.000s      0.080w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     18.433u      3.883s      2.972w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      3.100u      0.017s      0.683w     31 calls
| DFH: AO-Met. Contraction          :     13.817u      3.717s      1.647w     31 calls
HF: Form core H                     :      0.150u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.067s      0.081w      1 calls
HF: Guess                           :      0.083u      0.050s      0.049w      1 calls
| SAD Guess                         :      0.083u      0.050s      0.048w      1 calls
HF: Form G                          :    337.817u      0.750s     25.698w     13 calls
| RV: Form V                        :    276.750u      0.367s     20.871w     13 calls
| | Properties                      :     89.975p                          50596 calls
| | Functional                      :      3.027p                          50596 calls
| | V_xc                            :     73.662p                          50596 calls
| JK: D                             :      0.033u      0.000s      0.004w     13 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     13 calls
| JK: JK                            :     61.017u      0.367s      4.814w     13 calls
| | DFH: compute_JK()               :     61.017u      0.367s      4.813w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      5.000u      0.033s      0.386w     26 calls
| | | DFH: compute_K                :     55.950u      0.067s      4.234w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.517u      0.267s      0.580w     12 calls
HF: Form C                          :      3.200u      1.083s      1.610w     12 calls

**************************************************************************************
