
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:58:32 2026
Timers Off: Sun Aug  9 02:59:06 2026

Wall Time:       33.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.279w      1 calls
build grid                          :      2.150u      0.017s      0.191w      1 calls
post-process grid                   :      0.133u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.017s      0.122w     10 calls
DFH: initialize()                   :     19.000u      4.150s      3.045w      1 calls
DFH: AO Construction                :      3.300u      0.017s      0.713w     32 calls
DFH: AO-Met. Contraction            :     14.150u      4.000s      1.676w     32 calls
HF: Form core H                     :      0.200u      0.017s      0.018w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.088w      1 calls
HF: Guess                           :      0.083u      0.067s      0.052w      1 calls
SAD Guess                           :      0.083u      0.067s      0.051w      1 calls
HF: Form G                          :    349.600u      0.767s     26.572w     13 calls
RV: Form V                          :    287.733u      0.400s     21.683w     13 calls
Properties                          :     92.769p                          50570 calls
Functional                          :      3.076p                          50570 calls
V_xc                                :     77.290p                          50570 calls
JK: D                               :      0.000u      0.000s      0.004w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :     61.867u      0.367s      4.878w     13 calls
DFH: compute_JK()                   :     61.867u      0.367s      4.877w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     26 calls
DFH: compute_J                      :      5.083u      0.033s      0.391w     26 calls
DFH: compute_K                      :     56.717u      0.117s      4.293w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.033u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.467u      0.233s      0.508w     12 calls
HF: Form C                          :      3.183u      1.133s      1.608w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.279w      1 calls
| build grid                        :      2.150u      0.017s      0.191w      1 calls
| post-process grid                 :      0.133u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     19.000u      4.150s      3.045w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.061w      9 calls
| DFH: AO Construction              :      3.300u      0.017s      0.713w     32 calls
| DFH: AO-Met. Contraction          :     14.150u      4.000s      1.676w     32 calls
HF: Form core H                     :      0.200u      0.017s      0.018w      1 calls
HF: Form S/X                        :      0.183u      0.067s      0.088w      1 calls
HF: Guess                           :      0.083u      0.067s      0.052w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.051w      1 calls
HF: Form G                          :    349.600u      0.767s     26.572w     13 calls
| RV: Form V                        :    287.733u      0.400s     21.683w     13 calls
| | Properties                      :     92.769p                          50570 calls
| | Functional                      :      3.076p                          50570 calls
| | V_xc                            :     77.290p                          50570 calls
| JK: D                             :      0.000u      0.000s      0.004w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :     61.867u      0.367s      4.878w     13 calls
| | DFH: compute_JK()               :     61.867u      0.367s      4.877w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     26 calls
| | | DFH: compute_J                :      5.083u      0.033s      0.391w     26 calls
| | | DFH: compute_K                :     56.717u      0.117s      4.293w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.002w     13 calls
HF: Form D                          :      0.033u      0.000s      0.003w     13 calls
HF: DIIS                            :      1.467u      0.233s      0.508w     12 calls
HF: Form C                          :      3.183u      1.133s      1.608w     12 calls

**************************************************************************************
