
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 02:59:07 2026
Timers Off: Sun Aug  9 02:59:38 2026

Wall Time:       30.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.300u      0.000s      0.285w      1 calls
build grid                          :      2.167u      0.000s      0.196w      1 calls
post-process grid                   :      0.133u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.120w     10 calls
DFH: initialize()                   :     19.683u      4.083s      3.097w      1 calls
DFH: AO Construction                :      3.517u      0.050s      0.729w     31 calls
DFH: AO-Met. Contraction            :     14.600u      3.900s      1.713w     31 calls
HF: Form core H                     :      0.200u      0.017s      0.020w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.103w      1 calls
HF: Guess                           :      0.100u      0.067s      0.057w      1 calls
SAD Guess                           :      0.100u      0.067s      0.056w      1 calls
HF: Form G                          :    313.017u      0.717s     23.801w     12 calls
RV: Form V                          :    255.683u      0.350s     19.273w     12 calls
Properties                          :     83.016p                          47112 calls
Functional                          :      2.846p                          47112 calls
V_xc                                :     68.012p                          47112 calls
JK: D                               :      0.000u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     57.300u      0.367s      4.517w     12 calls
DFH: compute_JK()                   :     57.300u      0.367s      4.516w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.683u      0.067s      0.359w     24 calls
DFH: compute_K                      :     52.500u      0.100s      3.974w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.367u      0.183s      0.488w     11 calls
HF: Form C                          :      2.900u      1.000s      1.472w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.300u      0.000s      0.285w      1 calls
| build grid                        :      2.167u      0.000s      0.196w      1 calls
| post-process grid                 :      0.133u      0.000s      0.090w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      1 calls
DFH: initialize()                   :     19.683u      4.083s      3.097w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.059w      9 calls
| DFH: AO Construction              :      3.517u      0.050s      0.729w     31 calls
| DFH: AO-Met. Contraction          :     14.600u      3.900s      1.713w     31 calls
HF: Form core H                     :      0.200u      0.017s      0.020w      1 calls
HF: Form S/X                        :      0.217u      0.083s      0.103w      1 calls
HF: Guess                           :      0.100u      0.067s      0.057w      1 calls
| SAD Guess                         :      0.100u      0.067s      0.056w      1 calls
HF: Form G                          :    313.017u      0.717s     23.801w     12 calls
| RV: Form V                        :    255.683u      0.350s     19.273w     12 calls
| | Properties                      :     83.016p                          47112 calls
| | Functional                      :      2.846p                          47112 calls
| | V_xc                            :     68.012p                          47112 calls
| JK: D                             :      0.000u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     57.300u      0.367s      4.517w     12 calls
| | DFH: compute_JK()               :     57.300u      0.367s      4.516w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.683u      0.067s      0.359w     24 calls
| | | DFH: compute_K                :     52.500u      0.100s      3.974w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.367u      0.183s      0.488w     11 calls
HF: Form C                          :      2.900u      1.000s      1.472w     11 calls

**************************************************************************************
