
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:00:13 2026
Timers Off: Sun Aug  9 03:00:45 2026

Wall Time:       31.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.350u      0.000s      0.291w      1 calls
build grid                          :      2.200u      0.000s      0.203w      1 calls
post-process grid                   :      0.150u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.017s      0.121w     10 calls
DFH: initialize()                   :     22.817u      3.967s      3.530w      1 calls
DFH: AO Construction                :      4.350u      0.000s      0.915w     32 calls
DFH: AO-Met. Contraction            :     16.917u      3.833s      1.961w     32 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.124w      1 calls
HF: Guess                           :      0.117u      0.100s      0.071w      1 calls
SAD Guess                           :      0.117u      0.100s      0.069w      1 calls
HF: Form G                          :    324.300u      0.750s     24.680w     12 calls
RV: Form V                          :    266.633u      0.350s     20.120w     12 calls
Properties                          :     87.120p                          47040 calls
Functional                          :      2.854p                          47040 calls
V_xc                                :     70.702p                          47040 calls
JK: D                               :      0.067u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     57.600u      0.383s      4.549w     12 calls
DFH: compute_JK()                   :     57.600u      0.383s      4.548w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.567u      0.050s      0.356w     24 calls
DFH: compute_K                      :     52.933u      0.083s      4.008w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.400u      0.200s      0.497w     11 calls
HF: Form C                          :      2.917u      0.983s      1.466w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.350u      0.000s      0.291w      1 calls
| build grid                        :      2.200u      0.000s      0.203w      1 calls
| post-process grid                 :      0.150u      0.000s      0.088w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     22.817u      3.967s      3.530w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.061w      9 calls
| DFH: AO Construction              :      4.350u      0.000s      0.915w     32 calls
| DFH: AO-Met. Contraction          :     16.917u      3.833s      1.961w     32 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.124w      1 calls
HF: Guess                           :      0.117u      0.100s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.100s      0.069w      1 calls
HF: Form G                          :    324.300u      0.750s     24.680w     12 calls
| RV: Form V                        :    266.633u      0.350s     20.120w     12 calls
| | Properties                      :     87.120p                          47040 calls
| | Functional                      :      2.854p                          47040 calls
| | V_xc                            :     70.702p                          47040 calls
| JK: D                             :      0.067u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     57.600u      0.383s      4.549w     12 calls
| | DFH: compute_JK()               :     57.600u      0.383s      4.548w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.567u      0.050s      0.356w     24 calls
| | | DFH: compute_K                :     52.933u      0.083s      4.008w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.400u      0.200s      0.497w     11 calls
HF: Form C                          :      2.917u      0.983s      1.466w     11 calls

**************************************************************************************
