
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:00:48 2026
Timers Off: Sun Aug  9 03:01:09 2026

Wall Time:       21.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.000s      0.203w      1 calls
build grid                          :      1.450u      0.000s      0.133w      1 calls
post-process grid                   :      0.100u      0.000s      0.070w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.077w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.102w     10 calls
DFH: initialize()                   :     12.817u      2.567s      2.066w      1 calls
DFH: AO Construction                :      2.300u      0.033s      0.481w     27 calls
DFH: AO-Met. Contraction            :      9.283u      2.417s      1.072w     27 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.060w      1 calls
HF: Guess                           :      0.083u      0.067s      0.044w      1 calls
SAD Guess                           :      0.083u      0.067s      0.044w      1 calls
HF: Form G                          :    213.000u      0.417s     16.169w     12 calls
RV: Form V                          :    172.967u      0.250s     13.035w     12 calls
Properties                          :     54.491p                          42168 calls
Functional                          :      2.383p                          42168 calls
V_xc                                :     47.215p                          42168 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     40.017u      0.167s      3.127w     12 calls
DFH: compute_JK()                   :     40.000u      0.167s      3.126w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.400u      0.000s      0.263w     24 calls
DFH: compute_K                      :     36.500u      0.050s      2.764w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.183u      0.150s      0.428w     11 calls
HF: Form C                          :      2.317u      0.917s      1.190w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.000s      0.203w      1 calls
| build grid                        :      1.450u      0.000s      0.133w      1 calls
| post-process grid                 :      0.100u      0.000s      0.070w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.077w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.051w      1 calls
DFH: initialize()                   :     12.817u      2.567s      2.066w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.051w      9 calls
| DFH: AO Construction              :      2.300u      0.033s      0.481w     27 calls
| DFH: AO-Met. Contraction          :      9.283u      2.417s      1.072w     27 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.060w      1 calls
HF: Guess                           :      0.083u      0.067s      0.044w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.044w      1 calls
HF: Form G                          :    213.000u      0.417s     16.169w     12 calls
| RV: Form V                        :    172.967u      0.250s     13.035w     12 calls
| | Properties                      :     54.491p                          42168 calls
| | Functional                      :      2.383p                          42168 calls
| | V_xc                            :     47.215p                          42168 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     40.017u      0.167s      3.127w     12 calls
| | DFH: compute_JK()               :     40.000u      0.167s      3.126w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.400u      0.000s      0.263w     24 calls
| | | DFH: compute_K                :     36.500u      0.050s      2.764w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.183u      0.150s      0.428w     11 calls
HF: Form C                          :      2.317u      0.917s      1.190w     11 calls

**************************************************************************************
