
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:01:13 2026
Timers Off: Sun Aug  9 03:01:34 2026

Wall Time:       20.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.017s      0.204w      1 calls
build grid                          :      1.433u      0.017s      0.133w      1 calls
post-process grid                   :      0.117u      0.000s      0.070w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.076w      1 calls
Libint2ERI::Libint2ERI              :      0.150u      0.000s      0.101w     10 calls
DFH: initialize()                   :     12.667u      2.617s      2.039w      1 calls
DFH: AO Construction                :      2.250u      0.033s      0.471w     26 calls
DFH: AO-Met. Contraction            :      9.233u      2.467s      1.070w     26 calls
HF: Form core H                     :      0.133u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.066w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
SAD Guess                           :      0.083u      0.067s      0.047w      1 calls
HF: Form G                          :    208.433u      0.417s     15.830w     12 calls
RV: Form V                          :    168.767u      0.250s     12.717w     12 calls
Properties                          :     53.257p                          42120 calls
Functional                          :      2.349p                          42120 calls
V_xc                                :     45.956p                          42120 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     39.633u      0.167s      3.105w     12 calls
DFH: compute_JK()                   :     39.633u      0.167s      3.105w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.350u      0.050s      0.262w     24 calls
DFH: compute_K                      :     36.250u      0.017s      2.741w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.117u      0.167s      0.405w     11 calls
HF: Form C                          :      2.317u      0.917s      1.167w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.017s      0.204w      1 calls
| build grid                        :      1.433u      0.017s      0.133w      1 calls
| post-process grid                 :      0.117u      0.000s      0.070w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.076w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.050w      1 calls
DFH: initialize()                   :     12.667u      2.617s      2.039w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.051w      9 calls
| DFH: AO Construction              :      2.250u      0.033s      0.471w     26 calls
| DFH: AO-Met. Contraction          :      9.233u      2.467s      1.070w     26 calls
HF: Form core H                     :      0.133u      0.017s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.066w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.047w      1 calls
HF: Form G                          :    208.433u      0.417s     15.830w     12 calls
| RV: Form V                        :    168.767u      0.250s     12.717w     12 calls
| | Properties                      :     53.257p                          42120 calls
| | Functional                      :      2.349p                          42120 calls
| | V_xc                            :     45.956p                          42120 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     39.633u      0.167s      3.105w     12 calls
| | DFH: compute_JK()               :     39.633u      0.167s      3.105w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.350u      0.050s      0.262w     24 calls
| | | DFH: compute_K                :     36.250u      0.017s      2.741w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.117u      0.167s      0.405w     11 calls
HF: Form C                          :      2.317u      0.917s      1.167w     11 calls

**************************************************************************************
