
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:01:38 2026
Timers Off: Sun Aug  9 03:01:59 2026

Wall Time:       20.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.567u      0.017s      0.197w      1 calls
build grid                          :      1.450u      0.017s      0.126w      1 calls
post-process grid                   :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.076w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.101w     10 calls
DFH: initialize()                   :     12.683u      2.567s      2.027w      1 calls
DFH: AO Construction                :      2.267u      0.033s      0.467w     26 calls
DFH: AO-Met. Contraction            :      9.217u      2.400s      1.057w     26 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.063w      1 calls
HF: Guess                           :      0.083u      0.067s      0.047w      1 calls
SAD Guess                           :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    206.167u      0.350s     15.655w     12 calls
RV: Form V                          :    167.617u      0.183s     12.629w     12 calls
Properties                          :     53.394p                          42384 calls
Functional                          :      2.313p                          42384 calls
V_xc                                :     45.135p                          42384 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     38.533u      0.133s      3.017w     12 calls
DFH: compute_JK()                   :     38.533u      0.133s      3.016w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.400u      0.033s      0.261w     24 calls
DFH: compute_K                      :     35.067u      0.050s      2.658w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.050u      0.167s      0.374w     11 calls
HF: Form C                          :      2.233u      0.883s      1.141w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.567u      0.017s      0.197w      1 calls
| build grid                        :      1.450u      0.017s      0.126w      1 calls
| post-process grid                 :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.076w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.051w      1 calls
DFH: initialize()                   :     12.683u      2.567s      2.027w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.050w      9 calls
| DFH: AO Construction              :      2.267u      0.033s      0.467w     26 calls
| DFH: AO-Met. Contraction          :      9.217u      2.400s      1.057w     26 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.067s      0.063w      1 calls
HF: Guess                           :      0.083u      0.067s      0.047w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    206.167u      0.350s     15.655w     12 calls
| RV: Form V                        :    167.617u      0.183s     12.629w     12 calls
| | Properties                      :     53.394p                          42384 calls
| | Functional                      :      2.313p                          42384 calls
| | V_xc                            :     45.135p                          42384 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     38.533u      0.133s      3.017w     12 calls
| | DFH: compute_JK()               :     38.533u      0.133s      3.016w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.400u      0.033s      0.261w     24 calls
| | | DFH: compute_K                :     35.067u      0.050s      2.658w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.003w     12 calls
HF: DIIS                            :      1.050u      0.167s      0.374w     11 calls
HF: Form C                          :      2.233u      0.883s      1.141w     11 calls

**************************************************************************************
