
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:02:04 2026
Timers Off: Sun Aug  9 03:02:24 2026

Wall Time:       20.08 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.017s      0.194w      1 calls
build grid                          :      1.450u      0.017s      0.124w      1 calls
post-process grid                   :      0.100u      0.000s      0.069w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.076w      1 calls
Libint2ERI::Libint2ERI              :      0.150u      0.000s      0.101w     10 calls
DFH: initialize()                   :     12.300u      2.350s      2.038w      1 calls
DFH: AO Construction                :      2.250u      0.000s      0.469w     27 calls
DFH: AO-Met. Contraction            :      8.867u      2.217s      1.057w     27 calls
HF: Form core H                     :      0.133u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.117u      0.050s      0.062w      1 calls
HF: Guess                           :      0.083u      0.067s      0.046w      1 calls
SAD Guess                           :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    199.217u      0.433s     15.129w     12 calls
RV: Form V                          :    160.983u      0.250s     12.129w     12 calls
Properties                          :     50.850p                          42252 calls
Functional                          :      2.302p                          42252 calls
V_xc                                :     43.724p                          42252 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     38.200u      0.167s      2.991w     12 calls
DFH: compute_JK()                   :     38.200u      0.167s      2.991w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.217u      0.000s      0.250w     24 calls
DFH: compute_K                      :     34.900u      0.017s      2.643w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.050u      0.150s      0.359w     11 calls
HF: Form C                          :      2.217u      0.883s      1.144w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.550u      0.017s      0.194w      1 calls
| build grid                        :      1.450u      0.017s      0.124w      1 calls
| post-process grid                 :      0.100u      0.000s      0.069w      1 calls
DFH: sparsity prep                  :      0.133u      0.000s      0.076w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.051w      1 calls
DFH: initialize()                   :     12.300u      2.350s      2.038w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.050w      9 calls
| DFH: AO Construction              :      2.250u      0.000s      0.469w     27 calls
| DFH: AO-Met. Contraction          :      8.867u      2.217s      1.057w     27 calls
HF: Form core H                     :      0.133u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.117u      0.050s      0.062w      1 calls
HF: Guess                           :      0.083u      0.067s      0.046w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    199.217u      0.433s     15.129w     12 calls
| RV: Form V                        :    160.983u      0.250s     12.129w     12 calls
| | Properties                      :     50.850p                          42252 calls
| | Functional                      :      2.302p                          42252 calls
| | V_xc                            :     43.724p                          42252 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     38.200u      0.167s      2.991w     12 calls
| | DFH: compute_JK()               :     38.200u      0.167s      2.991w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.217u      0.000s      0.250w     24 calls
| | | DFH: compute_K                :     34.900u      0.017s      2.643w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.002w     12 calls
HF: DIIS                            :      1.050u      0.150s      0.359w     11 calls
HF: Form C                          :      2.217u      0.883s      1.144w     11 calls

**************************************************************************************
