
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:02:29 2026
Timers Off: Sun Aug  9 03:02:49 2026

Wall Time:       19.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.567u      0.017s      0.199w      1 calls
build grid                          :      1.450u      0.017s      0.128w      1 calls
post-process grid                   :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.079w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.017s      0.103w     10 calls
DFH: initialize()                   :     12.233u      2.683s      2.038w      1 calls
DFH: AO Construction                :      2.233u      0.000s      0.476w     27 calls
DFH: AO-Met. Contraction            :      8.817u      2.550s      1.060w     27 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.063w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
SAD Guess                           :      0.083u      0.067s      0.047w      1 calls
HF: Form G                          :    197.100u      0.433s     14.966w     12 calls
RV: Form V                          :    159.583u      0.250s     12.020w     12 calls
Properties                          :     50.118p                          42276 calls
Functional                          :      2.270p                          42276 calls
V_xc                                :     43.607p                          42276 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     37.483u      0.183s      2.937w     12 calls
DFH: compute_JK()                   :     37.483u      0.183s      2.936w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      3.183u      0.017s      0.249w     24 calls
DFH: compute_K                      :     34.267u      0.033s      2.588w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.983u      0.150s      0.339w     11 calls
HF: Form C                          :      2.200u      0.850s      1.125w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.567u      0.017s      0.199w      1 calls
| build grid                        :      1.450u      0.017s      0.128w      1 calls
| post-process grid                 :      0.117u      0.000s      0.071w      1 calls
DFH: sparsity prep                  :      0.117u      0.017s      0.079w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.053w      1 calls
DFH: initialize()                   :     12.233u      2.683s      2.038w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.050w      9 calls
| DFH: AO Construction              :      2.233u      0.000s      0.476w     27 calls
| DFH: AO-Met. Contraction          :      8.817u      2.550s      1.060w     27 calls
HF: Form core H                     :      0.117u      0.000s      0.013w      1 calls
HF: Form S/X                        :      0.133u      0.050s      0.063w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.047w      1 calls
HF: Form G                          :    197.100u      0.433s     14.966w     12 calls
| RV: Form V                        :    159.583u      0.250s     12.020w     12 calls
| | Properties                      :     50.118p                          42276 calls
| | Functional                      :      2.270p                          42276 calls
| | V_xc                            :     43.607p                          42276 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     37.483u      0.183s      2.937w     12 calls
| | DFH: compute_JK()               :     37.483u      0.183s      2.936w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      3.183u      0.017s      0.249w     24 calls
| | | DFH: compute_K                :     34.267u      0.033s      2.588w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.033u      0.000s      0.002w     12 calls
HF: DIIS                            :      0.983u      0.150s      0.339w     11 calls
HF: Form C                          :      2.200u      0.850s      1.125w     11 calls

**************************************************************************************
