
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:02:49 2026
Timers Off: Sun Aug  9 03:03:19 2026

Wall Time:       29.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.400u      0.017s      0.311w      1 calls
build grid                          :      2.233u      0.017s      0.211w      1 calls
post-process grid                   :      0.167u      0.000s      0.099w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.120w     10 calls
DFH: initialize()                   :     22.617u      3.417s      3.435w      1 calls
DFH: AO Construction                :      4.283u      0.017s      0.888w     31 calls
DFH: AO-Met. Contraction            :     16.783u      3.267s      1.899w     31 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.070w      1 calls
SAD Guess                           :      0.117u      0.083s      0.068w      1 calls
HF: Form G                          :    293.650u      0.950s     22.382w     12 calls
RV: Form V                          :    234.517u      0.417s     17.694w     12 calls
Properties                          :     76.272p                          47316 calls
Functional                          :      2.882p                          47316 calls
V_xc                                :     62.154p                          47316 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     59.100u      0.533s      4.678w     12 calls
DFH: compute_JK()                   :     59.100u      0.533s      4.677w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.550u      0.133s      0.366w     24 calls
DFH: compute_K                      :     54.433u      0.117s      4.125w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.417u      0.200s      0.476w     11 calls
HF: Form C                          :      2.833u      1.000s      1.444w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.400u      0.017s      0.311w      1 calls
| build grid                        :      2.233u      0.017s      0.211w      1 calls
| post-process grid                 :      0.167u      0.000s      0.099w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     22.617u      3.417s      3.435w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      4.283u      0.017s      0.888w     31 calls
| DFH: AO-Met. Contraction          :     16.783u      3.267s      1.899w     31 calls
HF: Form core H                     :      0.267u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.122w      1 calls
HF: Guess                           :      0.117u      0.083s      0.070w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.068w      1 calls
HF: Form G                          :    293.650u      0.950s     22.382w     12 calls
| RV: Form V                        :    234.517u      0.417s     17.694w     12 calls
| | Properties                      :     76.272p                          47316 calls
| | Functional                      :      2.882p                          47316 calls
| | V_xc                            :     62.154p                          47316 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     59.100u      0.533s      4.678w     12 calls
| | DFH: compute_JK()               :     59.100u      0.533s      4.677w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.550u      0.133s      0.366w     24 calls
| | | DFH: compute_K                :     54.433u      0.117s      4.125w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.417u      0.200s      0.476w     11 calls
HF: Form C                          :      2.833u      1.000s      1.444w     11 calls

**************************************************************************************
