
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:03:54 2026
Timers Off: Sun Aug  9 03:04:23 2026

Wall Time:       29.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.274w      1 calls
build grid                          :      2.150u      0.000s      0.192w      1 calls
post-process grid                   :      0.133u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.121w     10 calls
DFH: initialize()                   :     18.117u      3.367s      2.864w      1 calls
DFH: AO Construction                :      3.100u      0.017s      0.658w     31 calls
DFH: AO-Met. Contraction            :     13.467u      3.217s      1.559w     31 calls
HF: Form core H                     :      0.167u      0.017s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.050s      0.076w      1 calls
HF: Guess                           :      0.083u      0.067s      0.047w      1 calls
SAD Guess                           :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    296.533u      0.800s     22.590w     12 calls
RV: Form V                          :    238.050u      0.433s     17.967w     12 calls
Properties                          :     77.605p                          47016 calls
Functional                          :      2.799p                          47016 calls
V_xc                                :     63.121p                          47016 calls
JK: D                               :      0.033u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     58.450u      0.367s      4.612w     12 calls
DFH: compute_JK()                   :     58.450u      0.367s      4.612w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.517u      0.017s      0.351w     24 calls
DFH: compute_K                      :     53.833u      0.117s      4.080w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.433u      0.183s      0.498w     11 calls
HF: Form C                          :      2.883u      0.983s      1.448w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.274w      1 calls
| build grid                        :      2.150u      0.000s      0.192w      1 calls
| post-process grid                 :      0.133u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     18.117u      3.367s      2.864w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      3.100u      0.017s      0.658w     31 calls
| DFH: AO-Met. Contraction          :     13.467u      3.217s      1.559w     31 calls
HF: Form core H                     :      0.167u      0.017s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.050s      0.076w      1 calls
HF: Guess                           :      0.083u      0.067s      0.047w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    296.533u      0.800s     22.590w     12 calls
| RV: Form V                        :    238.050u      0.433s     17.967w     12 calls
| | Properties                      :     77.605p                          47016 calls
| | Functional                      :      2.799p                          47016 calls
| | V_xc                            :     63.121p                          47016 calls
| JK: D                             :      0.033u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     58.450u      0.367s      4.612w     12 calls
| | DFH: compute_JK()               :     58.450u      0.367s      4.612w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.517u      0.017s      0.351w     24 calls
| | | DFH: compute_K                :     53.833u      0.117s      4.080w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.002w     12 calls
HF: Form D                          :      0.050u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.433u      0.183s      0.498w     11 calls
HF: Form C                          :      2.883u      0.983s      1.448w     11 calls

**************************************************************************************
