
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:04:25 2026
Timers Off: Sun Aug  9 03:04:55 2026

Wall Time:       30.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.283u      0.017s      0.283w      1 calls
build grid                          :      2.150u      0.000s      0.199w      1 calls
post-process grid                   :      0.133u      0.017s      0.085w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.120w     10 calls
DFH: initialize()                   :     21.083u      3.483s      3.237w      1 calls
DFH: AO Construction                :      3.900u      0.033s      0.798w     30 calls
DFH: AO-Met. Contraction            :     15.583u      3.317s      1.790w     30 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.121w      1 calls
HF: Guess                           :      0.117u      0.083s      0.070w      1 calls
SAD Guess                           :      0.117u      0.083s      0.068w      1 calls
HF: Form G                          :    305.467u      0.733s     23.266w     12 calls
RV: Form V                          :    246.033u      0.383s     18.571w     12 calls
Properties                          :     80.133p                          47040 calls
Functional                          :      2.918p                          47040 calls
V_xc                                :     65.186p                          47040 calls
JK: D                               :      0.017u      0.000s      0.003w     12 calls
JK: USO2AO                          :      0.000u      0.017s      0.001w     12 calls
JK: JK                              :     59.417u      0.333s      4.685w     12 calls
DFH: compute_JK()                   :     59.417u      0.333s      4.684w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.583u      0.067s      0.352w     24 calls
DFH: compute_K                      :     54.717u      0.067s      4.147w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.383u      0.250s      0.497w     11 calls
HF: Form C                          :      2.950u      1.017s      1.473w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.283u      0.017s      0.283w      1 calls
| build grid                        :      2.150u      0.000s      0.199w      1 calls
| post-process grid                 :      0.133u      0.017s      0.085w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.091w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     21.083u      3.483s      3.237w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      3.900u      0.033s      0.798w     30 calls
| DFH: AO-Met. Contraction          :     15.583u      3.317s      1.790w     30 calls
HF: Form core H                     :      0.250u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.250u      0.100s      0.121w      1 calls
HF: Guess                           :      0.117u      0.083s      0.070w      1 calls
| SAD Guess                         :      0.117u      0.083s      0.068w      1 calls
HF: Form G                          :    305.467u      0.733s     23.266w     12 calls
| RV: Form V                        :    246.033u      0.383s     18.571w     12 calls
| | Properties                      :     80.133p                          47040 calls
| | Functional                      :      2.918p                          47040 calls
| | V_xc                            :     65.186p                          47040 calls
| JK: D                             :      0.017u      0.000s      0.003w     12 calls
| JK: USO2AO                        :      0.000u      0.017s      0.001w     12 calls
| JK: JK                            :     59.417u      0.333s      4.685w     12 calls
| | DFH: compute_JK()               :     59.417u      0.333s      4.684w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.583u      0.067s      0.352w     24 calls
| | | DFH: compute_K                :     54.717u      0.067s      4.147w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.000u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.383u      0.250s      0.497w     11 calls
HF: Form C                          :      2.950u      1.017s      1.473w     11 calls

**************************************************************************************
