
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:05:00 2026
Timers Off: Sun Aug  9 03:05:28 2026

Wall Time:       28.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.267u      0.017s      0.278w      1 calls
build grid                          :      2.150u      0.000s      0.196w      1 calls
post-process grid                   :      0.117u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.122w     10 calls
DFH: initialize()                   :     17.617u      3.133s      2.826w      1 calls
DFH: AO Construction                :      2.967u      0.000s      0.647w     30 calls
DFH: AO-Met. Contraction            :     13.117u      2.983s      1.524w     30 calls
HF: Form core H                     :      0.167u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.067s      0.079w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
SAD Guess                           :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    286.217u      0.733s     21.826w     12 calls
RV: Form V                          :    230.050u      0.367s     17.391w     12 calls
Properties                          :     75.918p                          47184 calls
Functional                          :      2.719p                          47184 calls
V_xc                                :     60.192p                          47184 calls
JK: D                               :      0.017u      0.000s      0.004w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :     56.150u      0.367s      4.425w     12 calls
DFH: compute_JK()                   :     56.150u      0.367s      4.424w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      4.400u      0.000s      0.335w     24 calls
DFH: compute_K                      :     51.667u      0.150s      3.919w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.333u      0.200s      0.473w     11 calls
HF: Form C                          :      2.900u      1.000s      1.444w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.267u      0.017s      0.278w      1 calls
| build grid                        :      2.150u      0.000s      0.196w      1 calls
| post-process grid                 :      0.117u      0.017s      0.082w      1 calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
DFH: initialize()                   :     17.617u      3.133s      2.826w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.060w      9 calls
| DFH: AO Construction              :      2.967u      0.000s      0.647w     30 calls
| DFH: AO-Met. Contraction          :     13.117u      2.983s      1.524w     30 calls
HF: Form core H                     :      0.167u      0.000s      0.016w      1 calls
HF: Form S/X                        :      0.167u      0.067s      0.079w      1 calls
HF: Guess                           :      0.083u      0.067s      0.048w      1 calls
| SAD Guess                         :      0.083u      0.067s      0.046w      1 calls
HF: Form G                          :    286.217u      0.733s     21.826w     12 calls
| RV: Form V                        :    230.050u      0.367s     17.391w     12 calls
| | Properties                      :     75.918p                          47184 calls
| | Functional                      :      2.719p                          47184 calls
| | V_xc                            :     60.192p                          47184 calls
| JK: D                             :      0.017u      0.000s      0.004w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :     56.150u      0.367s      4.425w     12 calls
| | DFH: compute_JK()               :     56.150u      0.367s      4.424w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      4.400u      0.000s      0.335w     24 calls
| | | DFH: compute_K                :     51.667u      0.150s      3.919w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.002w     12 calls
HF: Form D                          :      0.017u      0.000s      0.003w     12 calls
HF: DIIS                            :      1.333u      0.200s      0.473w     11 calls
HF: Form C                          :      2.900u      1.000s      1.444w     11 calls

**************************************************************************************
