
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:05:30 2026
Timers Off: Sun Aug  9 03:07:11 2026

Wall Time:      100.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.467u      0.033s      0.587w      1 calls
build grid                          :      5.233u      0.017s      0.447w      1 calls
post-process grid                   :      0.233u      0.017s      0.140w      1 calls
DFH: sparsity prep                  :      0.350u      0.000s      0.215w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.017s      0.424w     11 calls
JK: (A|Q)^-1                        :      4.717u      1.600s      1.820w      1 calls
JK: (A|mn)                          :     12.450u      0.250s      0.954w      2 calls
JK: (Q|mn)                          :     95.533u      0.133s      7.476w      2 calls
JK: (Q|mn) Write                    :      0.000u      1.617s      0.990w      2 calls
HF: Form core H                     :      0.450u      0.000s      0.040w      1 calls
HF: Form S/X                        :      0.583u      0.100s      0.240w      1 calls
HF: Guess                           :      0.167u      0.067s      0.053w      1 calls
SAD Guess                           :      0.167u      0.067s      0.052w      1 calls
HF: Form G                          :    987.533u     13.300s     80.809w     13 calls
RV: Form V                          :    608.367u      0.917s     45.897w     13 calls
Properties                          :    199.135p                          68172 calls
Functional                          :      4.318p                          68172 calls
V_xc                                :    163.268p                          68172 calls
JK: D                               :      0.150u      0.000s      0.010w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    379.017u     12.367s     34.887w     13 calls
JK: (Q|mn) Read                     :      0.133u      8.750s      5.319w     26 calls
JK: J                               :      9.567u      0.483s      0.909w     26 calls
JK: J1                              :      5.067u      0.483s      0.496w     26 calls
JK: J2                              :      4.483u      0.000s      0.389w     26 calls
JK: K                               :    369.300u      2.167s     28.083w     26 calls
JK: K1                              :    226.150u      1.717s     17.240w     26 calls
JK: K2                              :    143.150u      0.450s     10.840w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.007w     13 calls
HF: DIIS                            :      3.533u      0.333s      0.899w     12 calls
HF: Form C                          :      9.083u      1.583s      3.970w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.467u      0.033s      0.587w      1 calls
| build grid                        :      5.233u      0.017s      0.447w      1 calls
| post-process grid                 :      0.233u      0.017s      0.140w      1 calls
DFH: sparsity prep                  :      0.350u      0.000s      0.215w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.143w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.017s      0.280w      2 calls
JK: (A|Q)^-1                        :      4.717u      1.600s      1.820w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     12.450u      0.250s      0.954w      2 calls
JK: (Q|mn)                          :     95.533u      0.133s      7.476w      2 calls
JK: (Q|mn) Write                    :      0.000u      1.617s      0.990w      2 calls
HF: Form core H                     :      0.450u      0.000s      0.040w      1 calls
HF: Form S/X                        :      0.583u      0.100s      0.240w      1 calls
HF: Guess                           :      0.167u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.167u      0.067s      0.052w      1 calls
HF: Form G                          :    987.533u     13.300s     80.809w     13 calls
| RV: Form V                        :    608.367u      0.917s     45.897w     13 calls
| | Properties                      :    199.135p                          68172 calls
| | Functional                      :      4.318p                          68172 calls
| | V_xc                            :    163.268p                          68172 calls
| JK: D                             :      0.150u      0.000s      0.010w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    379.017u     12.367s     34.887w     13 calls
| | JK: (Q|mn) Read                 :      0.133u      8.750s      5.319w     26 calls
| | JK: J                           :      9.567u      0.483s      0.909w     26 calls
| | | JK: J1                        :      5.067u      0.483s      0.496w     26 calls
| | | JK: J2                        :      4.483u      0.000s      0.389w     26 calls
| | JK: K                           :    369.300u      2.167s     28.083w     26 calls
| | | JK: K1                        :    226.150u      1.717s     17.240w     26 calls
| | | JK: K2                        :    143.150u      0.450s     10.840w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.017u      0.000s      0.004w     13 calls
HF: Form D                          :      0.067u      0.000s      0.007w     13 calls
HF: DIIS                            :      3.533u      0.333s      0.899w     12 calls
HF: Form C                          :      9.083u      1.583s      3.970w     12 calls

**************************************************************************************
