
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:10:37 2026
Timers Off: Sun Aug  9 03:12:19 2026

Wall Time:      101.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.400u      0.033s      0.573w      1 calls
build grid                          :      5.183u      0.017s      0.436w      1 calls
post-process grid                   :      0.217u      0.017s      0.138w      1 calls
DFH: sparsity prep                  :      0.350u      0.000s      0.217w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.000s      0.424w     11 calls
JK: (A|Q)^-1                        :      4.717u      1.683s      1.819w      1 calls
JK: (A|mn)                          :     12.233u      0.250s      0.938w      2 calls
JK: (Q|mn)                          :     91.600u      0.167s      7.239w      2 calls
JK: (Q|mn) Write                    :      0.033u      1.717s      1.031w      2 calls
HF: Form core H                     :      0.433u      0.000s      0.040w      1 calls
HF: Form S/X                        :      0.583u      0.100s      0.226w      1 calls
HF: Guess                           :      0.150u      0.067s      0.054w      1 calls
SAD Guess                           :      0.150u      0.067s      0.053w      1 calls
HF: Form G                          :   1004.917u     12.350s     82.054w     13 calls
RV: Form V                          :    623.750u      0.850s     47.025w     13 calls
Properties                          :    201.418p                          68991 calls
Functional                          :      4.353p                          68991 calls
V_xc                                :    169.883p                          68991 calls
JK: D                               :      0.067u      0.000s      0.010w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    381.067u     11.483s     35.006w     13 calls
JK: (Q|mn) Read                     :      0.150u      8.383s      5.105w     26 calls
JK: J                               :      9.383u      0.067s      0.833w     26 calls
JK: J1                              :      4.783u      0.067s      0.417w     26 calls
JK: J2                              :      4.533u      0.000s      0.394w     26 calls
JK: K                               :    371.483u      1.867s     28.358w     26 calls
JK: K1                              :    228.600u      1.333s     17.479w     26 calls
JK: K2                              :    142.883u      0.533s     10.875w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.067u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.383u      0.300s      0.819w     12 calls
HF: Form C                          :      9.133u      1.583s      4.009w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.400u      0.033s      0.573w      1 calls
| build grid                        :      5.183u      0.017s      0.436w      1 calls
| post-process grid                 :      0.217u      0.017s      0.138w      1 calls
DFH: sparsity prep                  :      0.350u      0.000s      0.217w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.143w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.280w      2 calls
JK: (A|Q)^-1                        :      4.717u      1.683s      1.819w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     12.233u      0.250s      0.938w      2 calls
JK: (Q|mn)                          :     91.600u      0.167s      7.239w      2 calls
JK: (Q|mn) Write                    :      0.033u      1.717s      1.031w      2 calls
HF: Form core H                     :      0.433u      0.000s      0.040w      1 calls
HF: Form S/X                        :      0.583u      0.100s      0.226w      1 calls
HF: Guess                           :      0.150u      0.067s      0.054w      1 calls
| SAD Guess                         :      0.150u      0.067s      0.053w      1 calls
HF: Form G                          :   1004.917u     12.350s     82.054w     13 calls
| RV: Form V                        :    623.750u      0.850s     47.025w     13 calls
| | Properties                      :    201.418p                          68991 calls
| | Functional                      :      4.353p                          68991 calls
| | V_xc                            :    169.883p                          68991 calls
| JK: D                             :      0.067u      0.000s      0.010w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    381.067u     11.483s     35.006w     13 calls
| | JK: (Q|mn) Read                 :      0.150u      8.383s      5.105w     26 calls
| | JK: J                           :      9.383u      0.067s      0.833w     26 calls
| | | JK: J1                        :      4.783u      0.067s      0.417w     26 calls
| | | JK: J2                        :      4.533u      0.000s      0.394w     26 calls
| | JK: K                           :    371.483u      1.867s     28.358w     26 calls
| | | JK: K1                        :    228.600u      1.333s     17.479w     26 calls
| | | JK: K2                        :    142.883u      0.533s     10.875w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.067u      0.000s      0.008w     13 calls
HF: DIIS                            :      3.383u      0.300s      0.819w     12 calls
HF: Form C                          :      9.133u      1.583s      4.009w     12 calls

**************************************************************************************
