
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:12:23 2026
Timers Off: Sun Aug  9 03:13:58 2026

Wall Time:       95.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      5.383u      0.033s      0.577w      1 calls
build grid                          :      5.167u      0.017s      0.440w      1 calls
post-process grid                   :      0.217u      0.017s      0.137w      1 calls
DFH: sparsity prep                  :      0.367u      0.017s      0.215w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.033s      0.421w     11 calls
JK: (A|Q)^-1                        :      4.717u      1.500s      1.817w      1 calls
JK: (A|mn)                          :     11.467u      0.233s      0.878w      2 calls
JK: (Q|mn)                          :     85.850u      0.100s      6.741w      2 calls
JK: (Q|mn) Write                    :      0.017u      1.533s      0.933w      2 calls
HF: Form core H                     :      0.450u      0.017s      0.040w      1 calls
HF: Form S/X                        :      0.567u      0.100s      0.223w      1 calls
HF: Guess                           :      0.167u      0.050s      0.052w      1 calls
SAD Guess                           :      0.167u      0.050s      0.051w      1 calls
HF: Form G                          :    936.517u     11.550s     76.437w     13 calls
RV: Form V                          :    574.200u      0.767s     43.242w     13 calls
Properties                          :    187.160p                          68952 calls
Functional                          :      4.252p                          68952 calls
V_xc                                :    154.089p                          68952 calls
JK: D                               :      0.083u      0.000s      0.010w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    362.233u     10.733s     33.170w     13 calls
JK: (Q|mn) Read                     :      0.117u      8.267s      5.054w     26 calls
JK: J                               :      8.967u      0.050s      0.792w     26 calls
JK: J1                              :      4.617u      0.017s      0.388w     26 calls
JK: J2                              :      4.333u      0.033s      0.382w     26 calls
JK: K                               :    353.067u      1.433s     26.767w     26 calls
JK: K1                              :    211.817u      1.300s     16.103w     26 calls
JK: K2                              :    141.250u      0.133s     10.661w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.033u      0.000s      0.007w     13 calls
HF: DIIS                            :      3.517u      0.300s      0.774w     12 calls
HF: Form C                          :      9.050u      1.583s      3.979w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      5.383u      0.033s      0.577w      1 calls
| build grid                        :      5.167u      0.017s      0.440w      1 calls
| post-process grid                 :      0.217u      0.017s      0.137w      1 calls
DFH: sparsity prep                  :      0.367u      0.017s      0.215w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.142w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.278w      2 calls
JK: (A|Q)^-1                        :      4.717u      1.500s      1.817w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :     11.467u      0.233s      0.878w      2 calls
JK: (Q|mn)                          :     85.850u      0.100s      6.741w      2 calls
JK: (Q|mn) Write                    :      0.017u      1.533s      0.933w      2 calls
HF: Form core H                     :      0.450u      0.017s      0.040w      1 calls
HF: Form S/X                        :      0.567u      0.100s      0.223w      1 calls
HF: Guess                           :      0.167u      0.050s      0.052w      1 calls
| SAD Guess                         :      0.167u      0.050s      0.051w      1 calls
HF: Form G                          :    936.517u     11.550s     76.437w     13 calls
| RV: Form V                        :    574.200u      0.767s     43.242w     13 calls
| | Properties                      :    187.160p                          68952 calls
| | Functional                      :      4.252p                          68952 calls
| | V_xc                            :    154.089p                          68952 calls
| JK: D                             :      0.083u      0.000s      0.010w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    362.233u     10.733s     33.170w     13 calls
| | JK: (Q|mn) Read                 :      0.117u      8.267s      5.054w     26 calls
| | JK: J                           :      8.967u      0.050s      0.792w     26 calls
| | | JK: J1                        :      4.617u      0.017s      0.388w     26 calls
| | | JK: J2                        :      4.333u      0.033s      0.382w     26 calls
| | JK: K                           :    353.067u      1.433s     26.767w     26 calls
| | | JK: K1                        :    211.817u      1.300s     16.103w     26 calls
| | | JK: K2                        :    141.250u      0.133s     10.661w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.003w     13 calls
HF: Form D                          :      0.033u      0.000s      0.007w     13 calls
HF: DIIS                            :      3.517u      0.300s      0.774w     12 calls
HF: Form C                          :      9.050u      1.583s      3.979w     12 calls

**************************************************************************************
