
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:14:04 2026
Timers Off: Sun Aug  9 03:15:10 2026

Wall Time:       66.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.267u      0.033s      0.470w      1 calls
build grid                          :      4.067u      0.017s      0.347w      1 calls
post-process grid                   :      0.200u      0.017s      0.123w      1 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.175w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.017s      0.342w     11 calls
JK: (A|Q)^-1                        :      3.483u      0.500s      1.303w      1 calls
JK: (A|mn)                          :      8.183u      0.233s      0.632w      1 calls
JK: (Q|mn)                          :     51.333u      0.133s      4.081w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.825w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.433u      0.083s      0.186w      1 calls
HF: Guess                           :      0.133u      0.067s      0.050w      1 calls
SAD Guess                           :      0.133u      0.067s      0.049w      1 calls
HF: Form G                          :    652.033u      8.833s     53.500w     12 calls
RV: Form V                          :    412.150u      0.483s     31.032w     12 calls
Properties                          :    133.683p                          58824 calls
Functional                          :      3.623p                          58824 calls
V_xc                                :    110.696p                          58824 calls
JK: D                               :      0.050u      0.017s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    239.800u      8.300s     22.449w     12 calls
JK: (Q|mn) Read                     :      0.083u      5.983s      3.667w     24 calls
JK: J                               :      6.217u      0.050s      0.568w     24 calls
JK: J1                              :      3.100u      0.050s      0.288w     24 calls
JK: J2                              :      3.117u      0.000s      0.263w     24 calls
JK: K                               :    233.433u      1.417s     17.737w     24 calls
JK: K1                              :    144.500u      1.183s     11.014w     24 calls
JK: K2                              :     88.933u      0.233s      6.722w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.004w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.467u      0.283s      0.656w     11 calls
HF: Form C                          :      5.950u      1.267s      2.640w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.267u      0.033s      0.470w      1 calls
| build grid                        :      4.067u      0.017s      0.347w      1 calls
| post-process grid                 :      0.200u      0.017s      0.123w      1 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.175w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.017s      0.225w      2 calls
JK: (A|Q)^-1                        :      3.483u      0.500s      1.303w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.183u      0.233s      0.632w      1 calls
JK: (Q|mn)                          :     51.333u      0.133s      4.081w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.825w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.433u      0.083s      0.186w      1 calls
HF: Guess                           :      0.133u      0.067s      0.050w      1 calls
| SAD Guess                         :      0.133u      0.067s      0.049w      1 calls
HF: Form G                          :    652.033u      8.833s     53.500w     12 calls
| RV: Form V                        :    412.150u      0.483s     31.032w     12 calls
| | Properties                      :    133.683p                          58824 calls
| | Functional                      :      3.623p                          58824 calls
| | V_xc                            :    110.696p                          58824 calls
| JK: D                             :      0.050u      0.017s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    239.800u      8.300s     22.449w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      5.983s      3.667w     24 calls
| | JK: J                           :      6.217u      0.050s      0.568w     24 calls
| | | JK: J1                        :      3.100u      0.050s      0.288w     24 calls
| | | JK: J2                        :      3.117u      0.000s      0.263w     24 calls
| | JK: K                           :    233.433u      1.417s     17.737w     24 calls
| | | JK: K1                        :    144.500u      1.183s     11.014w     24 calls
| | | JK: K2                        :     88.933u      0.233s      6.722w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.004w     12 calls
HF: Form D                          :      0.017u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.467u      0.283s      0.656w     11 calls
HF: Form C                          :      5.950u      1.267s      2.640w     11 calls

**************************************************************************************
