
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:15:14 2026
Timers Off: Sun Aug  9 03:16:28 2026

Wall Time:       73.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.200u      0.017s      0.475w      1 calls
build grid                          :      4.017u      0.000s      0.356w      1 calls
post-process grid                   :      0.183u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.175w      1 calls
Libint2ERI::Libint2ERI              :      0.583u      0.017s      0.342w     11 calls
JK: (A|Q)^-1                        :      3.533u      0.533s      1.325w      1 calls
JK: (A|mn)                          :      8.283u      0.250s      0.640w      1 calls
JK: (Q|mn)                          :     55.900u      0.133s      4.423w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.867s      0.885w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.083s      0.164w      1 calls
HF: Guess                           :      0.133u      0.067s      0.053w      1 calls
SAD Guess                           :      0.133u      0.067s      0.052w      1 calls
HF: Form G                          :    732.250u     10.150s     60.278w     13 calls
RV: Form V                          :    469.317u      0.683s     35.464w     13 calls
Properties                          :    151.751p                          64038 calls
Functional                          :      4.043p                          64038 calls
V_xc                                :    127.397p                          64038 calls
JK: D                               :      0.150u      0.017s      0.008w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :    262.750u      9.417s     24.792w     13 calls
JK: (Q|mn) Read                     :      0.033u      6.783s      4.132w     26 calls
JK: J                               :      7.100u      0.183s      0.664w     26 calls
JK: J1                              :      3.683u      0.167s      0.353w     26 calls
JK: J2                              :      3.417u      0.017s      0.293w     26 calls
JK: K                               :    255.583u      1.533s     19.454w     26 calls
JK: K1                              :    158.417u      1.250s     12.106w     26 calls
JK: K2                              :     97.167u      0.283s      7.345w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.004w     13 calls
HF: Form D                          :      0.050u      0.000s      0.006w     13 calls
HF: DIIS                            :      2.700u      0.267s      0.640w     12 calls
HF: Form C                          :      6.533u      1.400s      2.908w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.200u      0.017s      0.475w      1 calls
| build grid                        :      4.017u      0.000s      0.356w      1 calls
| post-process grid                 :      0.183u      0.017s      0.119w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.175w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.017s      0.225w      2 calls
JK: (A|Q)^-1                        :      3.533u      0.533s      1.325w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.283u      0.250s      0.640w      1 calls
JK: (Q|mn)                          :     55.900u      0.133s      4.423w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.867s      0.885w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.083s      0.164w      1 calls
HF: Guess                           :      0.133u      0.067s      0.053w      1 calls
| SAD Guess                         :      0.133u      0.067s      0.052w      1 calls
HF: Form G                          :    732.250u     10.150s     60.278w     13 calls
| RV: Form V                        :    469.317u      0.683s     35.464w     13 calls
| | Properties                      :    151.751p                          64038 calls
| | Functional                      :      4.043p                          64038 calls
| | V_xc                            :    127.397p                          64038 calls
| JK: D                             :      0.150u      0.017s      0.008w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :    262.750u      9.417s     24.792w     13 calls
| | JK: (Q|mn) Read                 :      0.033u      6.783s      4.132w     26 calls
| | JK: J                           :      7.100u      0.183s      0.664w     26 calls
| | | JK: J1                        :      3.683u      0.167s      0.353w     26 calls
| | | JK: J2                        :      3.417u      0.017s      0.293w     26 calls
| | JK: K                           :    255.583u      1.533s     19.454w     26 calls
| | | JK: K1                        :    158.417u      1.250s     12.106w     26 calls
| | | JK: K2                        :     97.167u      0.283s      7.345w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.017s      0.004w     13 calls
HF: Form D                          :      0.050u      0.000s      0.006w     13 calls
HF: DIIS                            :      2.700u      0.267s      0.640w     12 calls
HF: Form C                          :      6.533u      1.400s      2.908w     12 calls

**************************************************************************************
