
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:16:30 2026
Timers Off: Sun Aug  9 03:17:39 2026

Wall Time:       69.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.317u      0.033s      0.481w      1 calls
build grid                          :      4.117u      0.033s      0.361w      1 calls
post-process grid                   :      0.200u      0.000s      0.120w      1 calls
DFH: sparsity prep                  :      0.283u      0.017s      0.175w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.017s      0.344w     11 calls
JK: (A|Q)^-1                        :      3.583u      0.583s      1.377w      1 calls
JK: (A|mn)                          :      9.417u      0.250s      0.729w      1 calls
JK: (Q|mn)                          :     64.133u      0.083s      5.059w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.950s      0.961w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.433u      0.083s      0.168w      1 calls
HF: Guess                           :      0.133u      0.067s      0.054w      1 calls
SAD Guess                           :      0.133u      0.067s      0.052w      1 calls
HF: Form G                          :    680.167u      9.217s     55.834w     12 calls
RV: Form V                          :    434.650u      0.617s     32.761w     12 calls
Properties                          :    142.961p                          58620 calls
Functional                          :      3.635p                          58620 calls
V_xc                                :    115.104p                          58620 calls
JK: D                               :      0.067u      0.000s      0.007w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    245.417u      8.600s     23.054w     12 calls
JK: (Q|mn) Read                     :      0.117u      6.233s      3.764w     24 calls
JK: J                               :      6.467u      0.117s      0.593w     24 calls
JK: J1                              :      3.250u      0.100s      0.302w     24 calls
JK: J2                              :      3.200u      0.017s      0.274w     24 calls
JK: K                               :    238.800u      1.350s     18.143w     24 calls
JK: K1                              :    148.967u      1.100s     11.340w     24 calls
JK: K2                              :     89.833u      0.250s      6.801w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.050u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.533u      0.300s      0.615w     11 calls
HF: Form C                          :      5.933u      1.233s      2.631w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.317u      0.033s      0.481w      1 calls
| build grid                        :      4.117u      0.033s      0.361w      1 calls
| post-process grid                 :      0.200u      0.000s      0.120w      1 calls
DFH: sparsity prep                  :      0.283u      0.017s      0.175w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.000s      0.227w      2 calls
JK: (A|Q)^-1                        :      3.583u      0.583s      1.377w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      8 calls
JK: (A|mn)                          :      9.417u      0.250s      0.729w      1 calls
JK: (Q|mn)                          :     64.133u      0.083s      5.059w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.950s      0.961w      1 calls
HF: Form core H                     :      0.350u      0.000s      0.033w      1 calls
HF: Form S/X                        :      0.433u      0.083s      0.168w      1 calls
HF: Guess                           :      0.133u      0.067s      0.054w      1 calls
| SAD Guess                         :      0.133u      0.067s      0.052w      1 calls
HF: Form G                          :    680.167u      9.217s     55.834w     12 calls
| RV: Form V                        :    434.650u      0.617s     32.761w     12 calls
| | Properties                      :    142.961p                          58620 calls
| | Functional                      :      3.635p                          58620 calls
| | V_xc                            :    115.104p                          58620 calls
| JK: D                             :      0.067u      0.000s      0.007w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    245.417u      8.600s     23.054w     12 calls
| | JK: (Q|mn) Read                 :      0.117u      6.233s      3.764w     24 calls
| | JK: J                           :      6.467u      0.117s      0.593w     24 calls
| | | JK: J1                        :      3.250u      0.100s      0.302w     24 calls
| | | JK: J2                        :      3.200u      0.017s      0.274w     24 calls
| | JK: K                           :    238.800u      1.350s     18.143w     24 calls
| | | JK: K1                        :    148.967u      1.100s     11.340w     24 calls
| | | JK: K2                        :     89.833u      0.250s      6.801w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.000s      0.004w     12 calls
HF: Form D                          :      0.050u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.533u      0.300s      0.615w     11 calls
HF: Form C                          :      5.933u      1.233s      2.631w     11 calls

**************************************************************************************
