
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:17:40 2026
Timers Off: Sun Aug  9 03:18:51 2026

Wall Time:       70.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.567u      0.017s      0.528w      1 calls
build grid                          :      4.350u      0.017s      0.392w      1 calls
post-process grid                   :      0.217u      0.000s      0.136w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.174w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.000s      0.341w     11 calls
JK: (A|Q)^-1                        :      3.650u      0.533s      1.349w      1 calls
JK: (A|mn)                          :     11.200u      0.283s      0.863w      1 calls
JK: (Q|mn)                          :     70.700u      0.233s      5.604w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.948w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.067s      0.163w      1 calls
HF: Guess                           :      0.150u      0.067s      0.052w      1 calls
SAD Guess                           :      0.150u      0.067s      0.051w      1 calls
HF: Form G                          :    681.750u      9.117s     55.947w     12 calls
RV: Form V                          :    436.517u      0.717s     32.955w     12 calls
Properties                          :    141.136p                          58800 calls
Functional                          :      3.701p                          58800 calls
V_xc                                :    118.314p                          58800 calls
JK: D                               :      0.050u      0.000s      0.008w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    245.183u      8.400s     22.973w     12 calls
JK: (Q|mn) Read                     :      0.083u      6.083s      3.753w     24 calls
JK: J                               :      6.350u      0.067s      0.548w     24 calls
JK: J1                              :      3.233u      0.050s      0.264w     24 calls
JK: J2                              :      3.067u      0.017s      0.266w     24 calls
JK: K                               :    238.717u      1.300s     18.160w     24 calls
JK: K1                              :    148.467u      1.133s     11.335w     24 calls
JK: K2                              :     90.250u      0.150s      6.823w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.004w     12 calls
HF: Form D                          :      0.133u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.567u      0.283s      0.626w     11 calls
HF: Form C                          :      5.983u      1.283s      2.677w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.567u      0.017s      0.528w      1 calls
| build grid                        :      4.350u      0.017s      0.392w      1 calls
| post-process grid                 :      0.217u      0.000s      0.136w      1 calls
DFH: sparsity prep                  :      0.283u      0.000s      0.174w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.225w      2 calls
JK: (A|Q)^-1                        :      3.650u      0.533s      1.349w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :     11.200u      0.283s      0.863w      1 calls
JK: (Q|mn)                          :     70.700u      0.233s      5.604w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.948w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.067s      0.163w      1 calls
HF: Guess                           :      0.150u      0.067s      0.052w      1 calls
| SAD Guess                         :      0.150u      0.067s      0.051w      1 calls
HF: Form G                          :    681.750u      9.117s     55.947w     12 calls
| RV: Form V                        :    436.517u      0.717s     32.955w     12 calls
| | Properties                      :    141.136p                          58800 calls
| | Functional                      :      3.701p                          58800 calls
| | V_xc                            :    118.314p                          58800 calls
| JK: D                             :      0.050u      0.000s      0.008w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    245.183u      8.400s     22.973w     12 calls
| | JK: (Q|mn) Read                 :      0.083u      6.083s      3.753w     24 calls
| | JK: J                           :      6.350u      0.067s      0.548w     24 calls
| | | JK: J1                        :      3.233u      0.050s      0.264w     24 calls
| | | JK: J2                        :      3.067u      0.017s      0.266w     24 calls
| | JK: K                           :    238.717u      1.300s     18.160w     24 calls
| | | JK: K1                        :    148.467u      1.133s     11.335w     24 calls
| | | JK: K2                        :     90.250u      0.150s      6.823w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.004w     12 calls
HF: Form D                          :      0.133u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.567u      0.283s      0.626w     11 calls
HF: Form C                          :      5.983u      1.283s      2.677w     11 calls

**************************************************************************************
