
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 03:18:56 2026
Timers Off: Sun Aug  9 03:20:03 2026

Wall Time:       67.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.250u      0.033s      0.474w      1 calls
build grid                          :      4.050u      0.017s      0.356w      1 calls
post-process grid                   :      0.200u      0.017s      0.118w      1 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.175w      1 calls
Libint2ERI::Libint2ERI              :      0.583u      0.000s      0.344w     11 calls
JK: (A|Q)^-1                        :      3.500u      0.550s      1.305w      1 calls
JK: (A|mn)                          :      8.250u      0.217s      0.638w      1 calls
JK: (Q|mn)                          :     53.667u      0.133s      4.257w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.828w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.083s      0.166w      1 calls
HF: Guess                           :      0.133u      0.067s      0.113w      1 calls
SAD Guess                           :      0.133u      0.067s      0.112w      1 calls
HF: Form G                          :    665.400u      8.667s     54.527w     12 calls
RV: Form V                          :    427.033u      0.617s     32.213w     12 calls
Properties                          :    137.428p                          59280 calls
Functional                          :      3.715p                          59280 calls
V_xc                                :    116.166p                          59280 calls
JK: D                               :      0.050u      0.000s      0.008w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     12 calls
JK: JK                              :    238.283u      8.050s     22.294w     12 calls
JK: (Q|mn) Read                     :      0.150u      6.000s      3.658w     24 calls
JK: J                               :      6.100u      0.033s      0.544w     24 calls
JK: J1                              :      3.067u      0.017s      0.265w     24 calls
JK: J2                              :      3.017u      0.000s      0.262w     24 calls
JK: K                               :    232.000u      1.167s     17.612w     24 calls
JK: K1                              :    142.167u      1.050s     10.821w     24 calls
JK: K2                              :     89.800u      0.117s      6.789w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.004w     12 calls
HF: Form D                          :      0.083u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.500u      0.267s      0.607w     11 calls
HF: Form C                          :      5.950u      1.283s      2.652w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.250u      0.033s      0.474w      1 calls
| build grid                        :      4.050u      0.017s      0.356w      1 calls
| post-process grid                 :      0.200u      0.017s      0.118w      1 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.175w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.116w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.000s      0.226w      2 calls
JK: (A|Q)^-1                        :      3.500u      0.550s      1.305w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      8 calls
JK: (A|mn)                          :      8.250u      0.217s      0.638w      1 calls
JK: (Q|mn)                          :     53.667u      0.133s      4.257w      1 calls
JK: (Q|mn) Write                    :      0.000u      0.800s      0.828w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.032w      1 calls
HF: Form S/X                        :      0.417u      0.083s      0.166w      1 calls
HF: Guess                           :      0.133u      0.067s      0.113w      1 calls
| SAD Guess                         :      0.133u      0.067s      0.112w      1 calls
HF: Form G                          :    665.400u      8.667s     54.527w     12 calls
| RV: Form V                        :    427.033u      0.617s     32.213w     12 calls
| | Properties                      :    137.428p                          59280 calls
| | Functional                      :      3.715p                          59280 calls
| | V_xc                            :    116.166p                          59280 calls
| JK: D                             :      0.050u      0.000s      0.008w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     12 calls
| JK: JK                            :    238.283u      8.050s     22.294w     12 calls
| | JK: (Q|mn) Read                 :      0.150u      6.000s      3.658w     24 calls
| | JK: J                           :      6.100u      0.033s      0.544w     24 calls
| | | JK: J1                        :      3.067u      0.017s      0.265w     24 calls
| | | JK: J2                        :      3.017u      0.000s      0.262w     24 calls
| | JK: K                           :    232.000u      1.167s     17.612w     24 calls
| | | JK: K1                        :    142.167u      1.050s     10.821w     24 calls
| | | JK: K2                        :     89.800u      0.117s      6.789w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.004w     12 calls
HF: Form D                          :      0.083u      0.000s      0.005w     12 calls
HF: DIIS                            :      2.500u      0.267s      0.607w     11 calls
HF: Form C                          :      5.950u      1.283s      2.652w     11 calls

**************************************************************************************
