
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:32:29 2026
Timers Off: Mon Aug 10 18:32:34 2026

Wall Time:        4.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.750u      0.000s      0.116w      1 calls
build grid                          :      0.667u      0.000s      0.068w      1 calls
post-process grid                   :      0.083u      0.000s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.012w     10 calls
DFH: initialize()                   :      1.517u      0.100s      0.286w      1 calls
DFH: AO Construction                :      0.367u      0.000s      0.028w      1 calls
DFH: AO-Met. Contraction            :      0.750u      0.033s      0.067w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.025w      1 calls
SAD Guess                           :      0.033u      0.033s      0.024w      1 calls
HF: Form G                          :     33.617u      0.217s      2.665w     11 calls
RV: Form V                          :     30.817u      0.150s      2.403w     11 calls
Properties                          :      7.465p                          29612 calls
Functional                          :      1.963p                          29612 calls
V_xc                                :      9.708p                          29612 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      2.800u      0.067s      0.258w     11 calls
DFH: compute_JK()                   :      2.800u      0.067s      0.257w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.333u      0.017s      0.030w     11 calls
DFH: compute_K                      :      2.417u      0.017s      0.204w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.600u      0.133s      0.397w     10 calls
HF: Form C                          :      0.167u      0.133s      0.105w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.750u      0.000s      0.116w      1 calls
| build grid                        :      0.667u      0.000s      0.068w      1 calls
| post-process grid                 :      0.083u      0.000s      0.048w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      1 calls
DFH: initialize()                   :      1.517u      0.100s      0.286w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      9 calls
| DFH: AO Construction              :      0.367u      0.000s      0.028w      1 calls
| DFH: AO-Met. Contraction          :      0.750u      0.033s      0.067w      1 calls
HF: Form core H                     :      0.033u      0.017s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.025w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.024w      1 calls
HF: Form G                          :     33.617u      0.217s      2.665w     11 calls
| RV: Form V                        :     30.817u      0.150s      2.403w     11 calls
| | Properties                      :      7.465p                          29612 calls
| | Functional                      :      1.963p                          29612 calls
| | V_xc                            :      9.708p                          29612 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      2.800u      0.067s      0.258w     11 calls
| | DFH: compute_JK()               :      2.800u      0.067s      0.257w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.333u      0.017s      0.030w     11 calls
| | | DFH: compute_K                :      2.417u      0.017s      0.204w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.600u      0.133s      0.397w     10 calls
HF: Form C                          :      0.167u      0.133s      0.105w     10 calls

**************************************************************************************
