
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:34:05 2026
Timers Off: Mon Aug 10 18:34:09 2026

Wall Time:        4.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.103w      1 calls
build grid                          :      0.667u      0.000s      0.064w      1 calls
post-process grid                   :      0.050u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.011w     10 calls
DFH: initialize()                   :      1.433u      0.100s      0.268w      1 calls
DFH: AO Construction                :      0.367u      0.000s      0.030w      1 calls
DFH: AO-Met. Contraction            :      0.683u      0.033s      0.060w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
SAD Guess                           :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     29.317u      0.167s      2.299w     11 calls
RV: Form V                          :     26.750u      0.117s      2.066w     11 calls
Properties                          :      6.392p                          29326 calls
Functional                          :      1.737p                          29326 calls
V_xc                                :      8.333p                          29326 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      2.567u      0.050s      0.229w     11 calls
DFH: compute_JK()                   :      2.567u      0.050s      0.229w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.350u      0.000s      0.028w     11 calls
DFH: compute_K                      :      2.200u      0.000s      0.179w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.550u      0.150s      0.335w     10 calls
HF: Form C                          :      0.183u      0.117s      0.104w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.103w      1 calls
| build grid                        :      0.667u      0.000s      0.064w      1 calls
| post-process grid                 :      0.050u      0.000s      0.039w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      1.433u      0.100s      0.268w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      9 calls
| DFH: AO Construction              :      0.367u      0.000s      0.030w      1 calls
| DFH: AO-Met. Contraction          :      0.683u      0.033s      0.060w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     29.317u      0.167s      2.299w     11 calls
| RV: Form V                        :     26.750u      0.117s      2.066w     11 calls
| | Properties                      :      6.392p                          29326 calls
| | Functional                      :      1.737p                          29326 calls
| | V_xc                            :      8.333p                          29326 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      2.567u      0.050s      0.229w     11 calls
| | DFH: compute_JK()               :      2.567u      0.050s      0.229w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.350u      0.000s      0.028w     11 calls
| | | DFH: compute_K                :      2.200u      0.000s      0.179w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.550u      0.150s      0.335w     10 calls
HF: Form C                          :      0.183u      0.117s      0.104w     10 calls

**************************************************************************************
