
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:18:22 2026
Timers Off: Sun Aug  9 16:18:27 2026

Wall Time:        4.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.433u      0.017s      0.071w      1 calls
build grid                          :      0.383u      0.017s      0.040w      1 calls
post-process grid                   :      0.050u      0.000s      0.031w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.025w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.032w     10 calls
DFH: initialize()                   :      2.167u      0.117s      0.294w      1 calls
DFH: AO Construction                :      0.617u      0.017s      0.050w      1 calls
DFH: AO-Met. Contraction            :      1.283u      0.050s      0.114w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.016w      1 calls
HF: Guess                           :      0.033u      0.033s      0.019w      1 calls
SAD Guess                           :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     39.517u      0.167s      3.019w     11 calls
RV: Form V                          :     35.967u      0.150s      2.727w     11 calls
Properties                          :      8.578p                          24926 calls
Functional                          :      0.947p                          24926 calls
V_xc                                :     12.238p                          24926 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      3.550u      0.017s      0.288w     11 calls
DFH: compute_JK()                   :      3.550u      0.017s      0.288w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.667u      0.000s      0.051w     11 calls
DFH: compute_K                      :      2.867u      0.000s      0.219w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.400u      0.083s      0.226w     10 calls
HF: Form C                          :      0.283u      0.217s      0.179w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.433u      0.017s      0.071w      1 calls
| build grid                        :      0.383u      0.017s      0.040w      1 calls
| post-process grid                 :      0.050u      0.000s      0.031w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.025w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.016w      1 calls
DFH: initialize()                   :      2.167u      0.117s      0.294w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.016w      9 calls
| DFH: AO Construction              :      0.617u      0.017s      0.050w      1 calls
| DFH: AO-Met. Contraction          :      1.283u      0.050s      0.114w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.016w      1 calls
HF: Guess                           :      0.033u      0.033s      0.019w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     39.517u      0.167s      3.019w     11 calls
| RV: Form V                        :     35.967u      0.150s      2.727w     11 calls
| | Properties                      :      8.578p                          24926 calls
| | Functional                      :      0.947p                          24926 calls
| | V_xc                            :     12.238p                          24926 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      3.550u      0.017s      0.288w     11 calls
| | DFH: compute_JK()               :      3.550u      0.017s      0.288w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.667u      0.000s      0.051w     11 calls
| | | DFH: compute_K                :      2.867u      0.000s      0.219w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.400u      0.083s      0.226w     10 calls
HF: Form C                          :      0.283u      0.217s      0.179w     10 calls

**************************************************************************************
