
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:19:48 2026
Timers Off: Sun Aug  9 16:19:58 2026

Wall Time:       10.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.783u      0.000s      0.118w      1 calls
build grid                          :      0.700u      0.000s      0.069w      1 calls
post-process grid                   :      0.083u      0.000s      0.050w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.034w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.045w     10 calls
DFH: initialize()                   :      3.550u      1.317s      0.689w      1 calls
DFH: AO Construction                :      0.917u      0.000s      0.186w     20 calls
DFH: AO-Met. Contraction            :      2.217u      1.233s      0.315w     20 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.035w      1 calls
HF: Guess                           :      0.050u      0.050s      0.029w      1 calls
SAD Guess                           :      0.050u      0.050s      0.028w      1 calls
HF: Form G                          :     99.750u      0.250s      7.622w     11 calls
RV: Form V                          :     91.317u      0.200s      6.941w     11 calls
Properties                          :     26.814p                          29458 calls
Functional                          :      1.772p                          29458 calls
V_xc                                :     26.741p                          29458 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      8.433u      0.050s      0.675w     11 calls
DFH: compute_JK()                   :      8.433u      0.050s      0.675w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.100u      0.000s      0.088w     22 calls
DFH: compute_K                      :      7.317u      0.000s      0.562w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.717u      0.133s      0.414w     10 calls
HF: Form C                          :      0.800u      0.500s      0.440w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.783u      0.000s      0.118w      1 calls
| build grid                        :      0.700u      0.000s      0.069w      1 calls
| post-process grid                 :      0.083u      0.000s      0.050w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.034w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      1 calls
DFH: initialize()                   :      3.550u      1.317s      0.689w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      0.917u      0.000s      0.186w     20 calls
| DFH: AO-Met. Contraction          :      2.217u      1.233s      0.315w     20 calls
HF: Form core H                     :      0.067u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.035w      1 calls
HF: Guess                           :      0.050u      0.050s      0.029w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.028w      1 calls
HF: Form G                          :     99.750u      0.250s      7.622w     11 calls
| RV: Form V                        :     91.317u      0.200s      6.941w     11 calls
| | Properties                      :     26.814p                          29458 calls
| | Functional                      :      1.772p                          29458 calls
| | V_xc                            :     26.741p                          29458 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      8.433u      0.050s      0.675w     11 calls
| | DFH: compute_JK()               :      8.433u      0.050s      0.675w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.100u      0.000s      0.088w     22 calls
| | | DFH: compute_K                :      7.317u      0.000s      0.562w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.717u      0.133s      0.414w     10 calls
HF: Form C                          :      0.800u      0.500s      0.440w     10 calls

**************************************************************************************
