
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:22:44 2026
Timers Off: Sun Aug  9 16:22:52 2026

Wall Time:        8.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.733u      0.000s      0.108w      1 calls
build grid                          :      0.667u      0.000s      0.067w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.045w     10 calls
DFH: initialize()                   :      3.250u      1.100s      0.642w      1 calls
DFH: AO Construction                :      0.700u      0.000s      0.168w     20 calls
DFH: AO-Met. Contraction            :      2.133u      1.033s      0.288w     20 calls
HF: Form core H                     :      0.050u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.010w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
SAD Guess                           :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     81.633u      0.233s      6.264w     11 calls
RV: Form V                          :     74.033u      0.117s      5.651w     11 calls
Properties                          :     21.766p                          29535 calls
Functional                          :      1.453p                          29535 calls
V_xc                                :     21.797p                          29535 calls
JK: D                               :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.067u      0.017s      0.010w     11 calls
JK: JK                              :      7.217u      0.067s      0.575w     11 calls
DFH: compute_JK()                   :      7.217u      0.067s      0.574w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.117u      0.033s      0.087w     22 calls
DFH: compute_K                      :      6.100u      0.000s      0.468w     22 calls
JK: AO2USO                          :      0.150u      0.033s      0.018w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.236w     10 calls
HF: Form C                          :      0.233u      0.200s      0.150w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.733u      0.000s      0.108w      1 calls
| build grid                        :      0.667u      0.000s      0.067w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :      3.250u      1.100s      0.642w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      0.700u      0.000s      0.168w     20 calls
| DFH: AO-Met. Contraction          :      2.133u      1.033s      0.288w     20 calls
HF: Form core H                     :      0.050u      0.000s      0.008w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.010w      1 calls
HF: Guess                           :      0.033u      0.033s      0.020w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.019w      1 calls
HF: Form G                          :     81.633u      0.233s      6.264w     11 calls
| RV: Form V                        :     74.033u      0.117s      5.651w     11 calls
| | Properties                      :     21.766p                          29535 calls
| | Functional                      :      1.453p                          29535 calls
| | V_xc                            :     21.797p                          29535 calls
| JK: D                             :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.067u      0.017s      0.010w     11 calls
| JK: JK                            :      7.217u      0.067s      0.575w     11 calls
| | DFH: compute_JK()               :      7.217u      0.067s      0.574w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.117u      0.033s      0.087w     22 calls
| | | DFH: compute_K                :      6.100u      0.000s      0.468w     22 calls
| JK: AO2USO                        :      0.150u      0.033s      0.018w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.350u      0.083s      0.236w     10 calls
HF: Form C                          :      0.233u      0.200s      0.150w     10 calls

**************************************************************************************
