
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 16:23:04 2026
Timers Off: Sun Aug  9 16:23:14 2026

Wall Time:       10.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.750u      0.000s      0.119w      1 calls
build grid                          :      0.683u      0.000s      0.070w      1 calls
post-process grid                   :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.047w     10 calls
DFH: initialize()                   :      3.583u      1.200s      0.701w      1 calls
DFH: AO Construction                :      0.850u      0.017s      0.194w     21 calls
DFH: AO-Met. Contraction            :      2.250u      1.117s      0.310w     21 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      1 calls
HF: Guess                           :      0.050u      0.050s      0.030w      1 calls
SAD Guess                           :      0.050u      0.050s      0.029w      1 calls
HF: Form G                          :    101.467u      0.333s      7.820w     11 calls
RV: Form V                          :     92.500u      0.217s      7.074w     11 calls
Properties                          :     27.466p                          29381 calls
Functional                          :      1.900p                          29381 calls
V_xc                                :     27.007p                          29381 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.100u      0.033s      0.014w     11 calls
JK: JK                              :      8.633u      0.033s      0.696w     11 calls
DFH: compute_JK()                   :      8.633u      0.033s      0.696w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      1.083u      0.017s      0.090w     22 calls
DFH: compute_K                      :      7.533u      0.017s      0.580w     22 calls
JK: AO2USO                          :      0.183u      0.017s      0.023w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.583u      0.100s      0.406w     10 calls
HF: Form C                          :      0.100u      0.050s      0.043w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.750u      0.000s      0.119w      1 calls
| build grid                        :      0.683u      0.000s      0.070w      1 calls
| post-process grid                 :      0.067u      0.000s      0.049w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.024w      1 calls
DFH: initialize()                   :      3.583u      1.200s      0.701w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      9 calls
| DFH: AO Construction              :      0.850u      0.017s      0.194w     21 calls
| DFH: AO-Met. Contraction          :      2.250u      1.117s      0.310w     21 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      1 calls
HF: Guess                           :      0.050u      0.050s      0.030w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.029w      1 calls
HF: Form G                          :    101.467u      0.333s      7.820w     11 calls
| RV: Form V                        :     92.500u      0.217s      7.074w     11 calls
| | Properties                      :     27.466p                          29381 calls
| | Functional                      :      1.900p                          29381 calls
| | V_xc                            :     27.007p                          29381 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.100u      0.033s      0.014w     11 calls
| JK: JK                            :      8.633u      0.033s      0.696w     11 calls
| | DFH: compute_JK()               :      8.633u      0.033s      0.696w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     22 calls
| | | DFH: compute_J                :      1.083u      0.017s      0.090w     22 calls
| | | DFH: compute_K                :      7.533u      0.017s      0.580w     22 calls
| JK: AO2USO                        :      0.183u      0.017s      0.023w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.583u      0.100s      0.406w     10 calls
HF: Form C                          :      0.100u      0.050s      0.043w     10 calls

**************************************************************************************
