
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:29:28 2026
Timers Off: Mon Aug 10 18:29:32 2026

Wall Time:        4.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.250u      0.000s      0.049w      1 calls
build grid                          :      0.200u      0.000s      0.024w      1 calls
post-process grid                   :      0.033u      0.000s      0.024w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.015w     10 calls
DFH: initialize()                   :      2.133u      0.100s      0.425w      1 calls
DFH: AO Construction                :      0.367u      0.017s      0.029w      1 calls
DFH: AO-Met. Contraction            :      1.017u      0.017s      0.083w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.050u      0.050s      0.038w      1 calls
SAD Guess                           :      0.050u      0.050s      0.037w      1 calls
HF: Form G                          :     22.800u      0.217s      2.151w     12 calls
RV: Form V                          :     16.917u      0.117s      1.493w     12 calls
Properties                          :      4.543p                          21168 calls
Functional                          :      1.513p                          21168 calls
V_xc                                :      5.723p                          21168 calls
JK: D                               :      0.017u      0.000s      0.001w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :      5.867u      0.100s      0.654w     12 calls
DFH: compute_JK()                   :      5.867u      0.100s      0.654w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.433u      0.017s      0.039w     12 calls
DFH: compute_K                      :      5.417u      0.033s      0.567w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.650u      0.183s      0.406w     11 calls
HF: Form C                          :      0.167u      0.167s      0.107w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.250u      0.000s      0.049w      1 calls
| build grid                        :      0.200u      0.000s      0.024w      1 calls
| post-process grid                 :      0.033u      0.000s      0.024w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      1 calls
DFH: initialize()                   :      2.133u      0.100s      0.425w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      9 calls
| DFH: AO Construction              :      0.367u      0.017s      0.029w      1 calls
| DFH: AO-Met. Contraction          :      1.017u      0.017s      0.083w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.050u      0.050s      0.038w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.037w      1 calls
HF: Form G                          :     22.800u      0.217s      2.151w     12 calls
| RV: Form V                        :     16.917u      0.117s      1.493w     12 calls
| | Properties                      :      4.543p                          21168 calls
| | Functional                      :      1.513p                          21168 calls
| | V_xc                            :      5.723p                          21168 calls
| JK: D                             :      0.017u      0.000s      0.001w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :      5.867u      0.100s      0.654w     12 calls
| | DFH: compute_JK()               :      5.867u      0.100s      0.654w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.433u      0.017s      0.039w     12 calls
| | | DFH: compute_K                :      5.417u      0.033s      0.567w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.000s      0.001w     12 calls
HF: DIIS                            :      0.650u      0.183s      0.406w     11 calls
HF: Form C                          :      0.167u      0.167s      0.107w     11 calls

**************************************************************************************
