
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:29:38 2026
Timers Off: Mon Aug 10 18:29:42 2026

Wall Time:        4.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.500u      0.000s      0.086w      1 calls
build grid                          :      0.433u      0.000s      0.045w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.019w     10 calls
DFH: initialize()                   :      2.583u      0.133s      0.493w      1 calls
DFH: AO Construction                :      0.483u      0.000s      0.038w      1 calls
DFH: AO-Met. Contraction            :      1.333u      0.050s      0.110w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.083s      0.046w      1 calls
SAD Guess                           :      0.050u      0.083s      0.045w      1 calls
HF: Form G                          :     24.817u      0.167s      2.213w     10 calls
RV: Form V                          :     18.683u      0.083s      1.590w     10 calls
Properties                          :      5.024p                          20470 calls
Functional                          :      1.408p                          20470 calls
V_xc                                :      6.160p                          20470 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.050u      0.000s      0.011w     10 calls
JK: JK                              :      5.950u      0.083s      0.583w     10 calls
DFH: compute_JK()                   :      5.950u      0.083s      0.583w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.417u      0.000s      0.036w     10 calls
DFH: compute_K                      :      5.483u      0.017s      0.502w     10 calls
JK: AO2USO                          :      0.017u      0.000s      0.008w     10 calls
HF: Form F                          :      0.000u      0.017s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.583u      0.133s      0.404w      9 calls
HF: Form C                          :      0.017u      0.000s      0.022w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.500u      0.000s      0.086w      1 calls
| build grid                        :      0.433u      0.000s      0.045w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      2.583u      0.133s      0.493w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      9 calls
| DFH: AO Construction              :      0.483u      0.000s      0.038w      1 calls
| DFH: AO-Met. Contraction          :      1.333u      0.050s      0.110w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.083s      0.046w      1 calls
| SAD Guess                         :      0.050u      0.083s      0.045w      1 calls
HF: Form G                          :     24.817u      0.167s      2.213w     10 calls
| RV: Form V                        :     18.683u      0.083s      1.590w     10 calls
| | Properties                      :      5.024p                          20470 calls
| | Functional                      :      1.408p                          20470 calls
| | V_xc                            :      6.160p                          20470 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.050u      0.000s      0.011w     10 calls
| JK: JK                            :      5.950u      0.083s      0.583w     10 calls
| | DFH: compute_JK()               :      5.950u      0.083s      0.583w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.417u      0.000s      0.036w     10 calls
| | | DFH: compute_K                :      5.483u      0.017s      0.502w     10 calls
| JK: AO2USO                        :      0.017u      0.000s      0.008w     10 calls
HF: Form F                          :      0.000u      0.017s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.583u      0.133s      0.404w      9 calls
HF: Form C                          :      0.017u      0.000s      0.022w      9 calls

**************************************************************************************
