
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:30:33 2026
Timers Off: Mon Aug 10 18:30:36 2026

Wall Time:        3.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.433u      0.000s      0.072w      1 calls
build grid                          :      0.383u      0.000s      0.041w      1 calls
post-process grid                   :      0.050u      0.000s      0.031w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w     10 calls
DFH: initialize()                   :      3.433u      0.200s      0.655w      1 calls
DFH: AO Construction                :      0.533u      0.017s      0.044w      1 calls
DFH: AO-Met. Contraction            :      1.667u      0.067s      0.143w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
SAD Guess                           :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     18.117u      0.150s      1.436w     11 calls
RV: Form V                          :     12.667u      0.033s      0.963w     11 calls
Properties                          :      2.875p                          23881 calls
Functional                          :      0.816p                          23881 calls
V_xc                                :      3.978p                          23881 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      5.450u      0.117s      0.470w     11 calls
DFH: compute_JK()                   :      5.450u      0.117s      0.469w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.500u      0.000s      0.040w     11 calls
DFH: compute_K                      :      4.917u      0.000s      0.385w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.333u      0.100s      0.218w     10 calls
HF: Form C                          :      0.100u      0.067s      0.064w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.433u      0.000s      0.072w      1 calls
| build grid                        :      0.383u      0.000s      0.041w      1 calls
| post-process grid                 :      0.050u      0.000s      0.031w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.011w      1 calls
DFH: initialize()                   :      3.433u      0.200s      0.655w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      9 calls
| DFH: AO Construction              :      0.533u      0.017s      0.044w      1 calls
| DFH: AO-Met. Contraction          :      1.667u      0.067s      0.143w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.007w      1 calls
HF: Guess                           :      0.017u      0.033s      0.017w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.017w      1 calls
HF: Form G                          :     18.117u      0.150s      1.436w     11 calls
| RV: Form V                        :     12.667u      0.033s      0.963w     11 calls
| | Properties                      :      2.875p                          23881 calls
| | Functional                      :      0.816p                          23881 calls
| | V_xc                            :      3.978p                          23881 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      5.450u      0.117s      0.470w     11 calls
| | DFH: compute_JK()               :      5.450u      0.117s      0.469w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.500u      0.000s      0.040w     11 calls
| | | DFH: compute_K                :      4.917u      0.000s      0.385w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.333u      0.100s      0.218w     10 calls
HF: Form C                          :      0.100u      0.067s      0.064w     10 calls

**************************************************************************************
