
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:30:43 2026
Timers Off: Mon Aug 10 18:30:45 2026

Wall Time:        1.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.133u      0.017s      0.027w      1 calls
build grid                          :      0.100u      0.017s      0.012w      1 calls
post-process grid                   :      0.033u      0.000s      0.014w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.014w     10 calls
DFH: initialize()                   :      1.483u      0.117s      0.305w      1 calls
DFH: AO Construction                :      0.267u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.683u      0.017s      0.056w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.033s      0.023w      1 calls
SAD Guess                           :      0.017u      0.033s      0.023w      1 calls
HF: Form G                          :      6.917u      0.083s      0.561w      9 calls
RV: Form V                          :      4.983u      0.017s      0.386w      9 calls
Properties                          :      1.080p                          11718 calls
Functional                          :      0.401p                          11718 calls
V_xc                                :      1.564p                          11718 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w      9 calls
JK: JK                              :      1.917u      0.050s      0.165w      9 calls
DFH: compute_JK()                   :      1.917u      0.050s      0.165w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.233u      0.017s      0.017w      9 calls
DFH: compute_K                      :      1.650u      0.000s      0.127w      9 calls
JK: AO2USO                          :      0.000u      0.017s      0.004w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.317u      0.050s      0.212w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.133u      0.017s      0.027w      1 calls
| build grid                        :      0.100u      0.017s      0.012w      1 calls
| post-process grid                 :      0.033u      0.000s      0.014w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      1 calls
DFH: initialize()                   :      1.483u      0.117s      0.305w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      9 calls
| DFH: AO Construction              :      0.267u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.683u      0.017s      0.056w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.017u      0.033s      0.023w      1 calls
| SAD Guess                         :      0.017u      0.033s      0.023w      1 calls
HF: Form G                          :      6.917u      0.083s      0.561w      9 calls
| RV: Form V                        :      4.983u      0.017s      0.386w      9 calls
| | Properties                      :      1.080p                          11718 calls
| | Functional                      :      0.401p                          11718 calls
| | V_xc                            :      1.564p                          11718 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w      9 calls
| JK: JK                            :      1.917u      0.050s      0.165w      9 calls
| | DFH: compute_JK()               :      1.917u      0.050s      0.165w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.233u      0.017s      0.017w      9 calls
| | | DFH: compute_K                :      1.650u      0.000s      0.127w      9 calls
| JK: AO2USO                        :      0.000u      0.017s      0.004w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.317u      0.050s      0.212w      8 calls
HF: Form C                          :      0.000u      0.000s      0.003w      8 calls

**************************************************************************************
