
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:31:23 2026
Timers Off: Mon Aug 10 18:31:28 2026

Wall Time:        4.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.833u      0.000s      0.121w      1 calls
build grid                          :      0.767u      0.000s      0.076w      1 calls
post-process grid                   :      0.067u      0.000s      0.044w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.019w     10 calls
DFH: initialize()                   :      3.033u      0.150s      0.542w      1 calls
DFH: AO Construction                :      0.567u      0.017s      0.045w      1 calls
DFH: AO-Met. Contraction            :      1.583u      0.033s      0.132w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.050s      0.022w      1 calls
SAD Guess                           :      0.033u      0.050s      0.021w      1 calls
HF: Form G                          :     29.400u      0.250s      2.475w      9 calls
RV: Form V                          :     23.183u      0.167s      1.889w      9 calls
Properties                          :      5.931p                          25371 calls
Functional                          :      1.702p                          25371 calls
V_xc                                :      7.370p                          25371 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.033u      0.000s      0.006w      9 calls
JK: JK                              :      6.150u      0.050s      0.563w      9 calls
DFH: compute_JK()                   :      6.150u      0.050s      0.563w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.483u      0.000s      0.043w      9 calls
DFH: compute_K                      :      5.633u      0.000s      0.464w      9 calls
JK: AO2USO                          :      0.000u      0.033s      0.010w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.500u      0.100s      0.355w      8 calls
HF: Form C                          :      0.000u      0.000s      0.010w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.833u      0.000s      0.121w      1 calls
| build grid                        :      0.767u      0.000s      0.076w      1 calls
| post-process grid                 :      0.067u      0.000s      0.044w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.010w      1 calls
DFH: initialize()                   :      3.033u      0.150s      0.542w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      9 calls
| DFH: AO Construction              :      0.567u      0.017s      0.045w      1 calls
| DFH: AO-Met. Contraction          :      1.583u      0.033s      0.132w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.050s      0.022w      1 calls
| SAD Guess                         :      0.033u      0.050s      0.021w      1 calls
HF: Form G                          :     29.400u      0.250s      2.475w      9 calls
| RV: Form V                        :     23.183u      0.167s      1.889w      9 calls
| | Properties                      :      5.931p                          25371 calls
| | Functional                      :      1.702p                          25371 calls
| | V_xc                            :      7.370p                          25371 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.033u      0.000s      0.006w      9 calls
| JK: JK                            :      6.150u      0.050s      0.563w      9 calls
| | DFH: compute_JK()               :      6.150u      0.050s      0.563w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.483u      0.000s      0.043w      9 calls
| | | DFH: compute_K                :      5.633u      0.000s      0.464w      9 calls
| JK: AO2USO                        :      0.000u      0.033s      0.010w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.500u      0.100s      0.355w      8 calls
HF: Form C                          :      0.000u      0.000s      0.010w      8 calls

**************************************************************************************
