
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:51:39 2026
Timers Off: Sun Aug  9 12:51:47 2026

Wall Time:        7.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.283u      0.000s      0.050w      1 calls
build grid                          :      0.250u      0.000s      0.027w      1 calls
post-process grid                   :      0.033u      0.000s      0.024w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.053w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.070w     10 calls
DFH: initialize()                   :      5.533u      0.400s      0.734w      1 calls
DFH: AO Construction                :      1.150u      0.033s      0.097w      2 calls
DFH: AO-Met. Contraction            :      3.700u      0.267s      0.342w      2 calls
HF: Form core H                     :      0.050u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.034w      1 calls
HF: Guess                           :      0.067u      0.050s      0.039w      1 calls
SAD Guess                           :      0.067u      0.050s      0.038w      1 calls
HF: Form G                          :     60.433u      0.417s      5.083w     12 calls
RV: Form V                          :     41.600u      0.183s      3.465w     12 calls
Properties                          :     11.356p                          21396 calls
Functional                          :      1.261p                          21396 calls
V_xc                                :     14.951p                          21396 calls
JK: D                               :      0.017u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     18.800u      0.200s      1.613w     12 calls
DFH: compute_JK()                   :     18.800u      0.200s      1.612w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      1.550u      0.017s      0.130w     12 calls
DFH: compute_K                      :     17.217u      0.067s      1.401w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.700u      0.133s      0.343w     11 calls
HF: Form C                          :      1.017u      0.550s      0.544w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.283u      0.000s      0.050w      1 calls
| build grid                        :      0.250u      0.000s      0.027w      1 calls
| post-process grid                 :      0.033u      0.000s      0.024w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.053w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.035w      1 calls
DFH: initialize()                   :      5.533u      0.400s      0.734w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.035w      9 calls
| DFH: AO Construction              :      1.150u      0.033s      0.097w      2 calls
| DFH: AO-Met. Contraction          :      3.700u      0.267s      0.342w      2 calls
HF: Form core H                     :      0.050u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.067u      0.033s      0.034w      1 calls
HF: Guess                           :      0.067u      0.050s      0.039w      1 calls
| SAD Guess                         :      0.067u      0.050s      0.038w      1 calls
HF: Form G                          :     60.433u      0.417s      5.083w     12 calls
| RV: Form V                        :     41.600u      0.183s      3.465w     12 calls
| | Properties                      :     11.356p                          21396 calls
| | Functional                      :      1.261p                          21396 calls
| | V_xc                            :     14.951p                          21396 calls
| JK: D                             :      0.017u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     18.800u      0.200s      1.613w     12 calls
| | DFH: compute_JK()               :     18.800u      0.200s      1.612w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      1.550u      0.017s      0.130w     12 calls
| | | DFH: compute_K                :     17.217u      0.067s      1.401w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.017u      0.017s      0.001w     12 calls
HF: Form D                          :      0.017u      0.017s      0.002w     12 calls
HF: DIIS                            :      0.700u      0.133s      0.343w     11 calls
HF: Form C                          :      1.017u      0.550s      0.544w     11 calls

**************************************************************************************
