
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:52:30 2026
Timers Off: Sun Aug  9 12:52:38 2026

Wall Time:        8.67 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.367u      0.017s      0.064w      1 calls
build grid                          :      0.317u      0.017s      0.034w      1 calls
post-process grid                   :      0.050u      0.000s      0.030w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.055w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.072w     10 calls
DFH: initialize()                   :      6.017u      0.867s      0.876w      1 calls
DFH: AO Construction                :      1.183u      0.017s      0.147w     11 calls
DFH: AO-Met. Contraction            :      4.050u      0.767s      0.409w     11 calls
HF: Form core H                     :      0.067u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.036w      1 calls
HF: Guess                           :      0.067u      0.050s      0.038w      1 calls
SAD Guess                           :      0.067u      0.050s      0.037w      1 calls
HF: Form G                          :     71.083u      0.433s      5.709w     12 calls
RV: Form V                          :     50.883u      0.233s      4.003w     12 calls
Properties                          :     13.285p                          25032 calls
Functional                          :      1.383p                          25032 calls
V_xc                                :     17.244p                          25032 calls
JK: D                               :      0.033u      0.000s      0.002w     12 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     12 calls
JK: JK                              :     20.167u      0.200s      1.701w     12 calls
DFH: compute_JK()                   :     20.167u      0.200s      1.701w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      1.767u      0.067s      0.148w     24 calls
DFH: compute_K                      :     18.350u      0.083s      1.499w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.017s      0.003w     12 calls
HF: DIIS                            :      0.717u      0.100s      0.334w     11 calls
HF: Form C                          :      1.100u      0.667s      0.590w     11 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.367u      0.017s      0.064w      1 calls
| build grid                        :      0.317u      0.017s      0.034w      1 calls
| post-process grid                 :      0.050u      0.000s      0.030w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.055w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.036w      1 calls
DFH: initialize()                   :      6.017u      0.867s      0.876w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.035w      9 calls
| DFH: AO Construction              :      1.183u      0.017s      0.147w     11 calls
| DFH: AO-Met. Contraction          :      4.050u      0.767s      0.409w     11 calls
HF: Form core H                     :      0.067u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.067u      0.050s      0.036w      1 calls
HF: Guess                           :      0.067u      0.050s      0.038w      1 calls
| SAD Guess                         :      0.067u      0.050s      0.037w      1 calls
HF: Form G                          :     71.083u      0.433s      5.709w     12 calls
| RV: Form V                        :     50.883u      0.233s      4.003w     12 calls
| | Properties                      :     13.285p                          25032 calls
| | Functional                      :      1.383p                          25032 calls
| | V_xc                            :     17.244p                          25032 calls
| JK: D                             :      0.033u      0.000s      0.002w     12 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     12 calls
| JK: JK                            :     20.167u      0.200s      1.701w     12 calls
| | DFH: compute_JK()               :     20.167u      0.200s      1.701w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      1.767u      0.067s      0.148w     24 calls
| | | DFH: compute_K                :     18.350u      0.083s      1.499w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.001w     12 calls
HF: Form D                          :      0.000u      0.017s      0.003w     12 calls
HF: DIIS                            :      0.717u      0.100s      0.334w     11 calls
HF: Form C                          :      1.100u      0.667s      0.590w     11 calls

**************************************************************************************
