
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:53:05 2026
Timers Off: Sun Aug  9 12:53:10 2026

Wall Time:        4.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.283u      0.017s      0.057w      1 calls
build grid                          :      0.250u      0.017s      0.030w      1 calls
post-process grid                   :      0.033u      0.000s      0.027w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.043w     10 calls
DFH: initialize()                   :      3.100u      0.167s      0.428w      1 calls
DFH: AO Construction                :      0.733u      0.033s      0.065w      1 calls
DFH: AO-Met. Contraction            :      1.933u      0.067s      0.177w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
SAD Guess                           :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     36.050u      0.367s      3.098w     11 calls
RV: Form V                          :     29.533u      0.250s      2.505w     11 calls
Properties                          :      8.070p                          21164 calls
Functional                          :      0.934p                          21164 calls
V_xc                                :     10.911p                          21164 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.033u      0.000s      0.008w     11 calls
JK: JK                              :      6.283u      0.067s      0.560w     11 calls
DFH: compute_JK()                   :      6.283u      0.067s      0.559w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.850u      0.000s      0.072w     11 calls
DFH: compute_K                      :      5.433u      0.000s      0.447w     11 calls
JK: AO2USO                          :      0.100u      0.017s      0.015w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.100s      0.243w     10 calls
HF: Form C                          :      0.067u      0.067s      0.059w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.283u      0.017s      0.057w      1 calls
| build grid                        :      0.250u      0.017s      0.030w      1 calls
| post-process grid                 :      0.033u      0.000s      0.027w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.033w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      1 calls
DFH: initialize()                   :      3.100u      0.167s      0.428w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      9 calls
| DFH: AO Construction              :      0.733u      0.033s      0.065w      1 calls
| DFH: AO-Met. Contraction          :      1.933u      0.067s      0.177w      1 calls
HF: Form core H                     :      0.050u      0.017s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w      1 calls
HF: Guess                           :      0.050u      0.050s      0.035w      1 calls
| SAD Guess                         :      0.050u      0.050s      0.034w      1 calls
HF: Form G                          :     36.050u      0.367s      3.098w     11 calls
| RV: Form V                        :     29.533u      0.250s      2.505w     11 calls
| | Properties                      :      8.070p                          21164 calls
| | Functional                      :      0.934p                          21164 calls
| | V_xc                            :     10.911p                          21164 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.033u      0.000s      0.008w     11 calls
| JK: JK                            :      6.283u      0.067s      0.560w     11 calls
| | DFH: compute_JK()               :      6.283u      0.067s      0.559w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.850u      0.000s      0.072w     11 calls
| | | DFH: compute_K                :      5.433u      0.000s      0.447w     11 calls
| JK: AO2USO                        :      0.100u      0.017s      0.015w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.100s      0.243w     10 calls
HF: Form C                          :      0.067u      0.067s      0.059w     10 calls

**************************************************************************************
