
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:53:30 2026
Timers Off: Sun Aug  9 12:53:33 2026

Wall Time:        2.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.183u      0.000s      0.042w      1 calls
build grid                          :      0.150u      0.000s      0.022w      1 calls
post-process grid                   :      0.033u      0.000s      0.020w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.012w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.016w     10 calls
DFH: initialize()                   :      0.617u      0.050s      0.096w      1 calls
DFH: AO Construction                :      0.233u      0.000s      0.017w      1 calls
DFH: AO-Met. Contraction            :      0.300u      0.017s      0.028w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     17.483u      0.133s      1.401w     11 calls
RV: Form V                          :     16.417u      0.100s      1.306w     11 calls
Properties                          :      3.896p                          18293 calls
Functional                          :      0.796p                          18293 calls
V_xc                                :      5.692p                          18293 calls
JK: D                               :      0.000u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      1.067u      0.017s      0.092w     11 calls
DFH: compute_JK()                   :      1.067u      0.017s      0.092w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.233u      0.017s      0.020w     11 calls
DFH: compute_K                      :      0.833u      0.000s      0.069w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.100s      0.238w     10 calls
HF: Form C                          :      0.117u      0.100s      0.086w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.183u      0.000s      0.042w      1 calls
| build grid                        :      0.150u      0.000s      0.022w      1 calls
| post-process grid                 :      0.033u      0.000s      0.020w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.012w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      1 calls
DFH: initialize()                   :      0.617u      0.050s      0.096w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      9 calls
| DFH: AO Construction              :      0.233u      0.000s      0.017w      1 calls
| DFH: AO-Met. Contraction          :      0.300u      0.017s      0.028w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.006w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     17.483u      0.133s      1.401w     11 calls
| RV: Form V                        :     16.417u      0.100s      1.306w     11 calls
| | Properties                      :      3.896p                          18293 calls
| | Functional                      :      0.796p                          18293 calls
| | V_xc                            :      5.692p                          18293 calls
| JK: D                             :      0.000u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      1.067u      0.017s      0.092w     11 calls
| | DFH: compute_JK()               :      1.067u      0.017s      0.092w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.233u      0.017s      0.020w     11 calls
| | | DFH: compute_K                :      0.833u      0.000s      0.069w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.100s      0.238w     10 calls
HF: Form C                          :      0.117u      0.100s      0.086w     10 calls

**************************************************************************************
