
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:54:21 2026
Timers Off: Sun Aug  9 12:54:27 2026

Wall Time:        5.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.117u      0.017s      0.026w      1 calls
build grid                          :      0.083u      0.017s      0.010w      1 calls
post-process grid                   :      0.033u      0.000s      0.015w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.066w      1 calls
Libint2ERI::Libint2ERI              :      0.133u      0.000s      0.086w     10 calls
DFH: initialize()                   :      7.667u      0.300s      0.970w      1 calls
DFH: AO Construction                :      1.217u      0.033s      0.096w      1 calls
DFH: AO-Met. Contraction            :      5.367u      0.150s      0.460w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
SAD Guess                           :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     41.667u      0.600s      3.817w      9 calls
RV: Form V                          :     19.967u      0.233s      1.780w      9 calls
Properties                          :      5.921p                          11754 calls
Functional                          :      0.749p                          11754 calls
V_xc                                :      7.397p                          11754 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.067u      0.017s      0.011w      9 calls
JK: JK                              :     21.433u      0.333s      1.993w      9 calls
DFH: compute_JK()                   :     21.433u      0.333s      1.993w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      1.417u      0.050s      0.119w      9 calls
DFH: compute_K                      :     19.967u      0.150s      1.756w      9 calls
JK: AO2USO                          :      0.150u      0.017s      0.021w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.367u      0.067s      0.271w      8 calls
HF: Form C                          :      0.067u      0.000s      0.027w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.117u      0.017s      0.026w      1 calls
| build grid                        :      0.083u      0.017s      0.010w      1 calls
| post-process grid                 :      0.033u      0.000s      0.015w      1 calls
DFH: sparsity prep                  :      0.117u      0.000s      0.066w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.043w      1 calls
DFH: initialize()                   :      7.667u      0.300s      0.970w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.043w      9 calls
| DFH: AO Construction              :      1.217u      0.033s      0.096w      1 calls
| DFH: AO-Met. Contraction          :      5.367u      0.150s      0.460w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.007w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.033s      0.021w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.020w      1 calls
HF: Form G                          :     41.667u      0.600s      3.817w      9 calls
| RV: Form V                        :     19.967u      0.233s      1.780w      9 calls
| | Properties                      :      5.921p                          11754 calls
| | Functional                      :      0.749p                          11754 calls
| | V_xc                            :      7.397p                          11754 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.067u      0.017s      0.011w      9 calls
| JK: JK                            :     21.433u      0.333s      1.993w      9 calls
| | DFH: compute_JK()               :     21.433u      0.333s      1.993w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      1.417u      0.050s      0.119w      9 calls
| | | DFH: compute_K                :     19.967u      0.150s      1.756w      9 calls
| JK: AO2USO                        :      0.150u      0.017s      0.021w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.367u      0.067s      0.271w      8 calls
HF: Form C                          :      0.067u      0.000s      0.027w      8 calls

**************************************************************************************
