
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:55:01 2026
Timers Off: Sun Aug  9 12:55:07 2026

Wall Time:        5.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.717u      0.000s      0.102w      1 calls
build grid                          :      0.650u      0.000s      0.061w      1 calls
post-process grid                   :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.046w     10 calls
DFH: initialize()                   :      4.167u      0.750s      0.639w      1 calls
DFH: AO Construction                :      0.867u      0.000s      0.086w      6 calls
DFH: AO-Met. Contraction            :      2.617u      0.650s      0.268w      6 calls
HF: Form core H                     :      0.067u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.022w      1 calls
SAD Guess                           :      0.033u      0.033s      0.021w      1 calls
HF: Form G                          :     46.367u      0.233s      3.619w     10 calls
RV: Form V                          :     37.283u      0.117s      2.857w     10 calls
Properties                          :      9.158p                          27100 calls
Functional                          :      1.267p                          27100 calls
V_xc                                :     12.312p                          27100 calls
JK: D                               :      0.017u      0.017s      0.001w     10 calls
JK: USO2AO                          :      0.017u      0.017s      0.008w     10 calls
JK: JK                              :      8.900u      0.083s      0.732w     10 calls
DFH: compute_JK()                   :      8.900u      0.083s      0.732w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.933u      0.000s      0.074w     11 calls
DFH: compute_K                      :      7.933u      0.000s      0.610w     11 calls
JK: AO2USO                          :      0.100u      0.000s      0.013w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.017u      0.017s      0.001w     10 calls
HF: DIIS                            :      0.367u      0.067s      0.236w      9 calls
HF: Form C                          :      0.133u      0.150s      0.101w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.717u      0.000s      0.102w      1 calls
| build grid                        :      0.650u      0.000s      0.061w      1 calls
| post-process grid                 :      0.067u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      1 calls
DFH: initialize()                   :      4.167u      0.750s      0.639w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.022w      9 calls
| DFH: AO Construction              :      0.867u      0.000s      0.086w      6 calls
| DFH: AO-Met. Contraction          :      2.617u      0.650s      0.268w      6 calls
HF: Form core H                     :      0.067u      0.017s      0.007w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.033u      0.033s      0.022w      1 calls
| SAD Guess                         :      0.033u      0.033s      0.021w      1 calls
HF: Form G                          :     46.367u      0.233s      3.619w     10 calls
| RV: Form V                        :     37.283u      0.117s      2.857w     10 calls
| | Properties                      :      9.158p                          27100 calls
| | Functional                      :      1.267p                          27100 calls
| | V_xc                            :     12.312p                          27100 calls
| JK: D                             :      0.017u      0.017s      0.001w     10 calls
| JK: USO2AO                        :      0.017u      0.017s      0.008w     10 calls
| JK: JK                            :      8.900u      0.083s      0.732w     10 calls
| | DFH: compute_JK()               :      8.900u      0.083s      0.732w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.933u      0.000s      0.074w     11 calls
| | | DFH: compute_K                :      7.933u      0.000s      0.610w     11 calls
| JK: AO2USO                        :      0.100u      0.000s      0.013w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.017u      0.017s      0.001w     10 calls
HF: DIIS                            :      0.367u      0.067s      0.236w      9 calls
HF: Form C                          :      0.133u      0.150s      0.101w      9 calls

**************************************************************************************
