
Host: choehoyun-ui-MacBookAir.local

Timers On : Sun Aug  9 12:55:21 2026
Timers Off: Sun Aug  9 12:55:32 2026

Wall Time:       10.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.817u      0.017s      0.130w      1 calls
build grid                          :      0.750u      0.017s      0.084w      1 calls
post-process grid                   :      0.067u      0.000s      0.046w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.048w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.062w     10 calls
DFH: initialize()                   :      6.733u      1.500s      1.299w      1 calls
DFH: AO Construction                :      1.133u      0.033s      0.285w     23 calls
DFH: AO-Met. Contraction            :      4.583u      1.367s      0.623w     23 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.033s      0.025w      1 calls
SAD Guess                           :      0.050u      0.033s      0.024w      1 calls
HF: Form G                          :     90.967u      0.833s      7.746w      9 calls
RV: Form V                          :     72.817u      0.533s      6.098w      9 calls
Properties                          :     24.005p                          25524 calls
Functional                          :      1.825p                          25524 calls
V_xc                                :     22.724p                          25524 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.117u      0.017s      0.015w      9 calls
JK: JK                              :     17.800u      0.217s      1.595w      9 calls
DFH: compute_JK()                   :     17.800u      0.217s      1.594w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     18 calls
DFH: compute_J                      :      1.467u      0.050s      0.126w     18 calls
DFH: compute_K                      :     16.317u      0.083s      1.392w     18 calls
JK: AO2USO                          :      0.167u      0.050s      0.024w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.017u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.567u      0.117s      0.391w      8 calls
HF: Form C                          :      0.033u      0.000s      0.036w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.817u      0.017s      0.130w      1 calls
| build grid                        :      0.750u      0.017s      0.084w      1 calls
| post-process grid                 :      0.067u      0.000s      0.046w      1 calls
DFH: sparsity prep                  :      0.083u      0.000s      0.048w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.032w      1 calls
DFH: initialize()                   :      6.733u      1.500s      1.299w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.031w      9 calls
| DFH: AO Construction              :      1.133u      0.033s      0.285w     23 calls
| DFH: AO-Met. Contraction          :      4.583u      1.367s      0.623w     23 calls
HF: Form core H                     :      0.083u      0.017s      0.010w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      1 calls
HF: Guess                           :      0.050u      0.033s      0.025w      1 calls
| SAD Guess                         :      0.050u      0.033s      0.024w      1 calls
HF: Form G                          :     90.967u      0.833s      7.746w      9 calls
| RV: Form V                        :     72.817u      0.533s      6.098w      9 calls
| | Properties                      :     24.005p                          25524 calls
| | Functional                      :      1.825p                          25524 calls
| | V_xc                            :     22.724p                          25524 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.117u      0.017s      0.015w      9 calls
| JK: JK                            :     17.800u      0.217s      1.595w      9 calls
| | DFH: compute_JK()               :     17.800u      0.217s      1.594w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     18 calls
| | | DFH: compute_J                :      1.467u      0.050s      0.126w     18 calls
| | | DFH: compute_K                :     16.317u      0.083s      1.392w     18 calls
| JK: AO2USO                        :      0.167u      0.050s      0.024w      9 calls
HF: Form F                          :      0.000u      0.000s      0.001w      9 calls
HF: Form D                          :      0.017u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.567u      0.117s      0.391w      8 calls
HF: Form C                          :      0.033u      0.000s      0.036w      8 calls

**************************************************************************************
