
Host: choehoyun-ui-MacBookAir.local

Timers On : Mon Aug 10 18:36:56 2026
Timers Off: Mon Aug 10 18:37:00 2026

Wall Time:        3.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.617u      0.000s      0.085w      1 calls
build grid                          :      0.550u      0.000s      0.049w      1 calls
post-process grid                   :      0.067u      0.000s      0.036w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.012w     10 calls
DFH: initialize()                   :      1.700u      0.100s      0.297w      1 calls
DFH: AO Construction                :      0.417u      0.000s      0.032w      1 calls
DFH: AO-Met. Contraction            :      0.833u      0.033s      0.071w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.050s      0.027w      1 calls
SAD Guess                           :      0.033u      0.050s      0.027w      1 calls
HF: Form G                          :     23.500u      0.150s      1.819w     11 calls
RV: Form V                          :     20.817u      0.117s      1.585w     11 calls
Properties                          :      4.758p                          27610 calls
Functional                          :      1.220p                          27610 calls
V_xc                                :      6.627p                          27610 calls
JK: D                               :      0.017u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w     11 calls
JK: JK                              :      2.617u      0.017s      0.220w     11 calls
DFH: compute_JK()                   :      2.617u      0.017s      0.220w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.367u      0.017s      0.029w     11 calls
DFH: compute_K                      :      2.250u      0.000s      0.171w     11 calls
JK: AO2USO                          :      0.017u      0.000s      0.006w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.067s      0.262w     10 calls
HF: Form C                          :      0.033u      0.050s      0.029w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.617u      0.000s      0.085w      1 calls
| build grid                        :      0.550u      0.000s      0.049w      1 calls
| post-process grid                 :      0.067u      0.000s      0.036w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      1 calls
DFH: initialize()                   :      1.700u      0.100s      0.297w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      9 calls
| DFH: AO Construction              :      0.417u      0.000s      0.032w      1 calls
| DFH: AO-Met. Contraction          :      0.833u      0.033s      0.071w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      0.033u      0.050s      0.027w      1 calls
| SAD Guess                         :      0.033u      0.050s      0.027w      1 calls
HF: Form G                          :     23.500u      0.150s      1.819w     11 calls
| RV: Form V                        :     20.817u      0.117s      1.585w     11 calls
| | Properties                      :      4.758p                          27610 calls
| | Functional                      :      1.220p                          27610 calls
| | V_xc                            :      6.627p                          27610 calls
| JK: D                             :      0.017u      0.000s      0.000w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w     11 calls
| JK: JK                            :      2.617u      0.017s      0.220w     11 calls
| | DFH: compute_JK()               :      2.617u      0.017s      0.220w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.367u      0.017s      0.029w     11 calls
| | | DFH: compute_K                :      2.250u      0.000s      0.171w     11 calls
| JK: AO2USO                        :      0.017u      0.000s      0.006w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.367u      0.067s      0.262w     10 calls
HF: Form C                          :      0.033u      0.050s      0.029w     10 calls

**************************************************************************************
